strain	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
wt	0.5345225885860163	0.5614195161165362	0.23022128018267293	0.4173353347386629	0.48245102367018217	0.8823291032507788	0.15782434373858206	0.252828174124147	0.8286415465775268	0.8493144211633136
G1(+/-)	0.24625584487733934	0.4644158702259518	0.1412600072330899	0.49595245945685584	0.3853304512005923	0.884758905732161	0.27600117159114995	0.33641875296074913	0.8974999166171981	0.8563517091549702
G2(+/-)	0.35686430084108994	0.40459995761237466	0.15805565711852398	0.4296412093554996	0.5038988981479537	0.8620729064359768	0.12020558038986794	0.3050358574524416	0.9326202631830728	0.9700057020027413
G3(+/-)	0.3224810110292306	0.46705262402268094	0.13016901520415533	0.530219583511511	0.4679574031846986	0.9095546510671868	0.09317070755342155	0.3176896619416609	0.9177134512756453	0.8731129489145448
G4(+/-)	0.5020227046265364	0.45229356493127426	0.17073104870340736	0.22698369931090845	0.44633707877838597	0.826508203613988	0.17392352730743588	0.3948154891984243	0.8851031584340704	0.9378647991760011
G5(+/-)	0.497047008202054	0.498295171721977	0.21555297818261754	0.43101713490747195	0.19548811391543192	0.9215681544378171	0.47207940822955397	0.4063352934447475	0.9422661951673584	0.6256485784004366
G6(+/-)	0.5527155606269698	0.5130921748716474	0.21887419526767357	0.37649216626354537	0.41768841709299315	0.45547557951865497	0.1110567271641343	0.3408824766162403	0.9099287131368943	0.8660236536228411
G7(+/-)	0.38000792633725206	0.47450229689026546	0.17823069096595023	0.45505389755966225	0.4956723312582618	0.8710025170887826	0.05202478268459984	0.28958709487095957	0.9152640776639565	0.8268224487615627
G8(+/-)	0.4291944369504905	0.5118508381148142	0.25739245913952197	0.47945735118505645	0.4448739353164151	0.9076928926859039	0.194843413122524	0.07679799275124702	0.8917059969300845	0.8131509573652662
G9(+/-)	0.38345444897905284	0.5118065491567507	0.1934787397923505	0.433415648407689	0.40504665842743043	0.8323670792551154	0.18814194701867232	0.32298105687772155	0.4187226747557124	0.9222053453525549
G10(+/-)	0.47796167579233856	0.46612852882723127	0.20677202013005275	0.4751563624866215	0.41460902081731704	0.8624619171691777	0.08708133878022542	0.2728906294521816	0.9719301665937828	0.37490985623074613
