strain	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
wt	0.5345225885860163	0.5614195161165362	0.23022128018267293	0.4173353347386629	0.48245102367018217	0.8823291032507788	0.15782434373858206	0.252828174124147	0.8286415465775268	0.8493144211633136
G1(-/-)	0.12514698048579687	0.13073942747630432	0.0	0.6932903763030643	0.5864862003579698	0.0	0.8615951735925068	0.6012470204920789	0.9496405922393322	0.8729089709688018
G2(-/-)	0.3735619793776115	0.06144908974268301	0.16762971860736536	0.555821628862319	0.42700301491383325	0.8809638336249485	0.09828198896583855	0.27790089357200665	0.9177160762201803	0.9174278279149665
G3(-/-)	0.4976701512281945	0.4569441637513338	0.030458516491287908	0.497585996055438	0.3697902532288046	0.8795529804243908	0.0888756393983638	0.23544272557370047	0.8880377148956514	0.9530543610383364
G4(-/-)	0.43490333220276023	0.5369477916763206	0.12391548909696476	0.08257474604328648	0.3539938621326847	0.885082600992348	0.20920567591964262	0.2686339911047207	0.8983921433341927	0.9249425220624231
G5(-/-)	0.3864157773498601	0.4571517335910235	0.7542459336168629	0.2709955963283482	0.0	0.9003470275602488	0.9197401763654951	0.48878974159710836	0.8083858546658094	0.02783831480133849
G6(-/-)	0.43543580711153357	0.545528836136842	0.18977406854058904	0.5210581004384899	0.47061528180015905	0.029928246933904383	0.18656688985110728	0.31744505559476943	0.9384324383574495	0.9120807848336425
G7(-/-)	0.468463103377733	0.5093884752469866	0.2162690780889415	0.37973192581645543	0.4078850624286478	0.81270662535581	0.027626006012487474	0.2814499932946408	0.8930607047878851	0.8585391374334164
G8(-/-)	0.4957925939616585	0.577003835508942	0.08268190169969977	0.4960479988135052	0.4021212516596345	0.9566201800926784	0.13573174807781838	0.0	0.9037146313216696	0.8715061668790492
G9(-/-)	0.1149960716723674	0.1829527324252987	0.0	0.4366759275140421	0.34794579420969296	0.5513738923738534	0.7716487614570582	0.5326726887494635	0.006401715475798034	0.8380769460106661
G10(-/-)	0.43082943222836745	0.46947940972440627	0.1677650792373815	0.5703070868149105	0.4550453645897847	0.848569981218093	0.09772784268432619	0.3346658193999545	0.8723566858836234	0.0022383398221561086
