strain	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
wt	0.6085289869436914	0.8045897742489012	0.044084012767845286	0.007037228618102098	0.9268442693356252	0.9499619866819987	0.8767277782154084	0.3806857117172202	0.39103878412493037	0.04018188456797924
G1(-/-)	0.002276256692784651	0.7972866931725638	0.04507141818208471	0.07218626518442196	0.8672034838044382	0.927171416852865	0.903808675268019	0.43771236870757446	0.3467690322243259	0.12058104473354646
G2(-/-)	0.664304438797048	0.07601870983019397	0.05710582664595946	0.01620890519727441	0.901875006944013	0.8021894700888672	0.8804883162780879	0.3352335801086483	0.36471977924938787	0.032436570136525594
G3(-/-)	0.6925747200609914	0.7702511256153806	0.020303526502598243	0.06150628926320491	0.9003599756467289	0.8401620512366023	0.8800139640584737	0.4142587542947889	0.3784963983372089	0.02523171481153961
G4(-/-)	0.6753292454495678	0.7045219251410101	0.010162042787830146	0.0	0.8753861945766721	0.8956255394744241	0.9265841369338503	0.4465340926921692	0.44856385386677194	0.13913023334630173
G5(-/-)	0.6268567678500686	0.6013569755673984	0.08324771468028118	0.1152959944222553	0.0019714228749879337	0.9595161830588015	0.8675767149206703	0.4552402496861627	0.40981188762493714	0.18109615180929278
G6(-/-)	0.2665534650174466	0.35928790567249114	0.9415783261169791	0.6136642673838959	0.05874559747965111	0.029892057575570504	0.9743940866464685	0.19480185659591392	0.49751164283582155	0.06390358948898883
G7(-/-)	0.3967669989250231	0.7146468488976324	0.06448583121166891	0.2227757144704374	0.8288824702515395	0.0551768931726973	0.030706820967614394	0.39067150708046433	0.2031576086242009	0.08579088556202105
G8(-/-)	0.6232684175451167	0.5894355679454492	0.015382550221209936	0.03933673052456085	0.9194965259246911	0.8690808058265	0.8841259151044554	0.05996773808698389	0.38117299832499496	0.1275027633073049
G9(-/-)	0.607206063204799	0.7473922743706214	0.120309320495428	0.02393735638864129	0.8360455356829275	0.9217712350709396	0.9553802137051239	0.3254612958134494	0.0	0.0
G10(-/-)	0.6310813247864064	0.8588276754123738	6.409770312622522E-4	0.0	0.8622312506628342	0.9602517687288125	0.9120819455974964	0.2367463720951532	0.449966365009747	0.0
