strain	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
wt	0.14428538801631935	0.8930606941656036	0.008382847757326508	0.8698892698404204	0.14088598366190314	0.8586701153611481	0.8074024202062617	0.46757053437539153	0.08669328033808338	0.9089425969944472
G1(+/-)	0.06473341901351974	0.8653628237029085	0.034948434612077264	0.7445337780837425	0.012938600313182587	0.9019258464953732	0.9923497839058042	0.5378603372827769	0.11670517942910895	0.8974506887366567
G2(+/-)	0.2562490464499157	0.4897898138863553	0.02542328977734111	0.8739783186758289	0.06447827217674383	0.9280877624217096	0.8610080894887233	0.4608710758599356	0.038676241735188584	0.904466667992177
G3(+/-)	0.08502068325412669	0.9041682305768807	0.0	0.7961175813205812	0.0	0.8463302964223495	0.9031102728408612	0.4379338996474235	0.0721353071767834	0.9552312855237669
G4(+/-)	0.08391512607901445	0.9015790817145034	0.0043611097489796675	0.4575652819815035	0.061865163385269525	0.8829023461415649	0.8782868445476705	0.5115302080306294	0.10453802588353314	0.9256718270834935
G5(+/-)	0.10862521905350252	0.9182241908657538	0.0	0.7400654932898808	0.06471029464250196	0.9211462045300545	0.9211356635362791	0.42773606294075855	0.14329325588864275	0.9013695323200425
G6(+/-)	0.13688082132469787	0.8611796856750172	0.032160180528044605	0.8352930352920739	0.030695826862490005	0.4468516683846579	0.9325258109833121	0.4916526246797443	0.05452119956869379	0.9175972878738092
G7(+/-)	0.2080377904774498	0.8920350355678258	0.0	0.848044578621397	0.07513393127007192	0.847468449432759	0.5655313128468238	0.5110904380975981	0.16611855646214838	0.8990515769092957
G8(+/-)	0.14291229932245383	0.8555293240620426	0.0	0.8252663583386473	0.06298020862471544	0.8696328284825587	0.873673308206099	0.27068015971657794	0.02852939005710152	0.8971275911191484
G9(+/-)	0.10687709965764028	0.9267845180300436	0.06499701825893972	0.9143276098902542	0.09528563307791103	0.842342138790602	0.892198746212374	0.46597073898099783	0.0	0.8326570788212739
G10(+/-)	0.13832221357555366	0.823729747307638	0.028212552661538555	0.791501522809684	0.07802119733918546	0.9303339980457866	0.8826994615881218	0.5444251061308637	0.18047126891673318	0.3729043582790381
