strain	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
wt	0.45015522473703307	0.11162200869437118	0.5298938039084907	0.3914649106282703	0.4642377084300739	0.8433271076499074	0.43732744044593663	0.07275381855866173	0.4321527891164198	0.36707093975973654	0.08145224353430593	0.1089014986450507	0.8236920343602058	0.8540659309055653	0.03594204581467737	0.45661201570100884	0.7729454070816697	0.4259991792743635	0.38172064895200714	0.46805456233274634	0.43757214811384165	0.4549439749460256	0.06404925061714917	0.8425589463179813	0.861525773365639	0.40715353912215524	0.07474718858728323	0.8606111268154579	0.0	0.48653888340436735	0.5032548644961244	0.46312833093344635	0.3151966660314795	0.4230850428965565	0.4128738105693776	0.2764327827260647	0.7256844859535022	0.6858085887641456	0.596824501894049	0.8715854904693214	0.11059400555370251	0.0	0.18819139553380163	0.4913488816237767	0.47879936773508813	0.44043329959804123	0.8338728267615968	0.9020944104549607	0.4150551673209724	0.8688760045630578	0.8960343402509289	0.07111174937240008	0.7392685338293142	0.8487430499792491	0.203574632126628	0.7167487169712491	0.0455304491849539	0.8210090848572653	0.5049889739987249	0.0	0.9350381216210821	0.5921704740886459	0.8100913173389798	0.8176131283868089	0.41791817764834516	0.7716184621452822	0.7673146529150371	0.40207237208793745	0.8798530197866055	0.5975180270893881	0.11619837901413445	0.35477398298697854	0.23082538102774733	0.8134113492584004	0.42648373857275446	0.7973137043598142	0.06583353466051009	0.057009208794148475	0.46753079622494276	0.3916604984023348	0.8131321263039867	0.793226408883875	0.8492491045777033	0.0	0.3383901894861022	0.8417570137439445	0.9578585728811025	0.19386039356076618	0.404426941500243	0.501608213766825	0.09290007988455701	0.8469118541656726	0.0649999879839275	0.2132664472351704	0.4289142774433026	0.5208139107354031	0.45154684945279644	0.4783174311305773	0.8960882878950867	0.7763212607213725
G1(+/-)	0.23936858740560515	0.1775902403011347	0.6527295676451073	0.6089088885881737	0.3480713277497539	0.848759361970107	0.5149025293788059	0.06945686093673828	0.45003460052788224	0.4369123059731201	0.14223580396998728	0.07081108586950133	0.7923536170119853	0.7266502480412178	0.0037245897715376653	0.4263368896700913	0.89923862092079	0.3381418022342731	0.4238597674885973	0.4496701752825285	0.3897920572574104	0.47899453833385336	0.038312002505340025	0.8723486896217555	0.857712348779408	0.40714512428740174	0.013385019632371703	0.8416243929576521	0.135118722852152	0.4110176012740586	0.4073561514753663	0.47157319885950844	0.3959500300940839	0.3948459898612461	0.4393146496504676	0.41173436533320085	0.7893977315432696	0.6275730868325923	0.6998767471871707	0.8988861853209583	0.05049513343580808	0.0	0.14610997804607537	0.41302973863587983	0.4438211883982486	0.44060073321455795	0.8413998051440699	0.8777774213461016	0.41133068549712953	0.8480469004292901	0.7749770628838467	0.08314621820727465	0.7009313684441895	0.9111714733697908	0.25002671439029445	0.7741000122525414	0.08432942558644582	0.8419091114337635	0.449540201244905	0.009716954476141076	0.8871696330580924	0.5715533549733331	0.8434771431271397	0.8464102481158357	0.4157866559584808	0.8202520692036891	0.6852352349444739	0.4265233494132317	0.8810766843677779	0.6304677350105621	0.08800984381811568	0.41804052197435115	0.2512459313328034	0.8917750999284527	0.3998221029237388	0.8000462685108166	0.09749276895947258	0.08105500756880285	0.4620050153223508	0.42487773781347926	0.8190318813973593	0.7569720006482172	0.8994657298709217	0.05716290855294151	0.37580650313616604	0.8223902033953999	0.8440135079716167	0.14262475549954076	0.42372435905955214	0.41280991163350966	0.08557693082099814	0.8126909447168941	0.0340142962177087	0.06734126326091518	0.4457996073399616	0.615254207486258	0.39566870328391335	0.4782736438153923	0.8056663791640896	0.8035043787418832
G2(+/-)	0.34201850089698477	0.0128238064171486	0.5417685393220508	0.3703085739313604	0.478757512036096	0.813798278810874	0.5136149713883444	0.07040619367260345	0.43120501954168766	0.4371798171198481	0.0501976316821161	0.019154670507139638	0.7289640551959655	0.8317752631610587	0.09237628428314618	0.4200745908218889	0.8346688781870223	0.4050013788774035	0.4455491762602123	0.4297246177232165	0.4843245440611401	0.4961747218112046	0.005294804157129078	0.7625569214186544	0.7934388764728718	0.3478045065999641	0.12240825293730358	0.8796641224576686	0.01225925540841738	0.4659019441674462	0.431939417067307	0.4811177940838821	0.40999830856191133	0.3808050955250434	0.43616188218311785	0.38129502566111784	0.8071775613839021	0.6057323191779803	0.6352104423596665	0.8499696974106025	0.12062719040962097	0.0	0.11454521181899045	0.4183115735708876	0.48173485999930954	0.39108521828917886	0.7660786990156444	0.8587936352781562	0.36975377119800845	0.8648319816954158	0.8077979525737172	0.0394888547585819	0.7555753542919886	0.8132004945986618	0.28396725269090456	0.7854462988357765	0.032672969711320506	0.8384104369394014	0.4457986679451074	0.04143138153930229	0.7859891765871625	0.5976353105072256	0.8265676655814729	0.7730171950263373	0.43742770640482953	0.8067110710261041	0.7229589762264105	0.37441902819683537	0.8483458861641748	0.5476517697340915	0.07763062776300218	0.3557955151286972	0.24823177478230193	0.9060861058819095	0.3634624884727719	0.9555238842400366	0.11534428687870256	0.05948166249708561	0.4179781812688423	0.463964735175914	0.8475352892368629	0.7430183264423632	0.8490016525425929	0.14731228259385962	0.40489637588543065	0.792987164206858	0.8262996336783457	0.19840328035542504	0.442507773525654	0.47955485073297593	0.10282234704175325	0.8698103964659132	0.0557500066203036	0.09735991059933348	0.4613042224959501	0.6092435634952617	0.40025530735234954	0.4121230467131519	0.7969890103447336	0.8973242444758192
G3(+/-)	0.45321637540661697	0.10927580150408672	0.3261597501383853	0.44532141751225285	0.3903029615148887	0.8798573342123611	0.4484224699789743	0.0236472621607827	0.4376753187066142	0.40455002235676246	0.10428505147489685	0.002054977523924945	0.8158151266272272	0.9561171258136564	0.0704145941129191	0.4199835397940585	0.8137387818259493	0.4620606616689778	0.4413324390856655	0.3856675599124649	0.40798903849858187	0.42396964367112705	0.0	0.9567557401076607	0.8333588449434299	0.4747993503799887	0.018649452749823894	0.847787045920488	0.06470919519658953	0.3785864329289444	0.44571563577008133	0.4413983774124669	0.4382367337167634	0.45964308177857505	0.45417726149176274	0.34154947258186696	0.7858113518381868	0.658460528427005	0.6455561470917436	0.848945400227099	0.12853314239076483	0.014410307644531356	0.18158277116954608	0.355692126294182	0.4037813614717091	0.5181379474339218	0.7952626104833888	0.7889601035129565	0.48211857199042335	0.7355328333688241	0.8297053578708177	0.10718406870966399	0.7086602640626103	0.8192263252044799	0.3312666749024261	0.7812649855757451	0.0	0.8489695077450133	0.40718702017039	0.06752813970258972	0.7961456832701777	0.5718969475330932	0.8121531293342813	0.9347942998715634	0.4691364688381722	0.843221020902416	0.7013960013895714	0.3937481365926537	0.7675327772788086	0.601504981768858	0.0660511890865359	0.4855846966050227	0.24058703367248493	0.8840569060524556	0.48261654308840374	0.812534606749451	0.0	0.197413286683512	0.40987243777640564	0.4447344836925212	0.8912047180696802	0.6788923839829424	0.8272958994078018	0.0	0.4136812534605768	0.8627404143734693	0.8676813145799234	0.10741089130033207	0.4303405354375199	0.4589933151394053	0.11553435655683565	0.8703896532341648	0.004857276524726255	0.17933054351386873	0.46610579663671625	0.4904876629852632	0.3759364675410401	0.48620519692954395	0.7974591862316643	0.8466531763194044
G4(+/-)	0.4395834171981485	0.20772308056661137	0.633518550542523	0.1811302537565078	0.4262640060791234	0.8550201662224964	0.34953493968330535	0.012146731241526187	0.3954963882310568	0.38701829374146846	0.02191505743197218	0.06382670608235738	0.8050243355436767	0.8064744858523963	0.23777125569933508	0.3555005250902512	0.7856094311262284	0.48548645987100814	0.460892709655246	0.4276836807049929	0.4615286237439497	0.42622128176839297	0.041044027744655605	0.9136886794591137	0.805917789468217	0.4745253775011741	0.11863460056208303	0.8153933306832555	0.1381271841151728	0.3977974461356205	0.48505984624593523	0.4982633922428429	0.3721889078359738	0.4335463046217101	0.430750349103004	0.29750042242067826	0.7365747764456242	0.5992162353510707	0.6251321642674351	0.8511798086992278	0.05882984338357018	0.0	0.17776992492260477	0.38475342706204096	0.3891909165976619	0.4617947985687494	0.7950229399892818	0.9022571674886691	0.37481315402503057	0.9021314437336214	0.8498742343957971	0.07340641931809848	0.76681021254117	0.8021658167947615	0.29629019866418427	0.7912152524421714	0.021098134877653715	0.8370902325090558	0.4506163117232789	0.056427737512724556	0.8768388858366487	0.6355750911353378	0.7554656816750606	0.8680408113732032	0.4543171373131222	0.7308500406564092	0.6491338476870858	0.42193062076102783	0.8711093670379334	0.5757399268073585	0.11126560960574182	0.4775837380992608	0.32494591932274347	0.8785813242371384	0.4386712575888699	0.8649574577380136	0.08527909084529176	0.0	0.4837600814118082	0.44114217930200106	0.875271405699915	0.8024038170598509	0.7956286941589807	0.010228319488598677	0.3900211536117093	0.857825101658036	0.7359637071584509	0.1583959440615254	0.4245580639690885	0.49090020099765047	0.09884572100816294	0.8392518982164028	0.0	0.08097091737299641	0.4272020096029879	0.5924372192801156	0.40534093856407305	0.43090686765726366	0.8677109153928594	0.8207501383319152
G5(+/-)	0.37600612002035727	0.16486226177483934	0.5992305302645542	0.4530518433129681	0.0810099305131382	0.8077485304823594	0.4059901920273498	0.014318571111458948	0.4481955539066372	0.44142742126224943	0.10043197308023401	0.15511814056267137	0.8096679898081459	0.8648548832799382	0.16698852300742414	0.47425107650052417	0.8747986373696254	0.4920962552576516	0.47199806929475363	0.48389655040070917	0.46302019332923694	0.5429852020655676	0.057601578683267735	0.9014150024703211	0.8381834926081159	0.3932002612542872	0.02420141098780477	0.8796709055208612	0.0	0.4557639916797122	0.46639223301179933	0.49425484057253105	0.48032417524896875	0.4045453152294936	0.4184838136859686	0.39110758032886817	0.7892660802203156	0.6829660074176108	0.6452161707473351	0.8452317681913782	0.07652098923511844	0.07399128370763314	0.18102928629784656	0.35785226605970827	0.4191966236773519	0.4248601087231515	0.7688863347166409	0.8929909746259875	0.4039709879158058	0.8217763318670679	0.8221778604926405	0.07151521262467951	0.7161309892860681	0.8087098886931778	0.3068894697795353	0.6850986094237186	0.03171466663406826	0.8164558751269415	0.3582908733201445	0.06234512013583557	0.739636771706641	0.6613295866697203	0.8288337663910917	0.8740252029269628	0.460834772781838	0.8407000343819725	0.7357089125798969	0.46475867695034095	0.817034400178278	0.5618645945547364	0.036229528542633664	0.4677333518796651	0.3819995076945838	0.8325944646033218	0.5126913432541057	0.8614979737838462	0.10635761689349682	0.06474137477322184	0.47414865463609734	0.4974510387172732	0.8503936461430589	0.7747804677538545	0.8108235936287581	0.07985517743398476	0.4123149928554358	0.8460981348397958	0.8482742976759304	0.17697904602489248	0.4078071847750518	0.3852810651263345	0.09710407701640464	0.8198597947301003	0.0	0.19145571007295986	0.3592278315953854	0.5218290842546481	0.44275043733922503	0.5266232549472781	0.831655495475339	0.8619993406602285
G6(+/-)	0.4577126033480985	0.0946803515625241	0.5739879144053043	0.47028293543694183	0.36930702998069936	0.402916566958736	0.46448326210931473	0.014081576433132289	0.4724514291766351	0.4609661964113149	0.10933482451212578	0.1400966588536517	0.7111363144017209	0.7484678654205704	0.22139078557161337	0.6259219123499954	0.8408946919884948	0.49931447532484285	0.4128786312717422	0.454948422439301	0.42450180821930245	0.49426209405879223	0.05691230359456694	0.9193037484356629	0.8235084897385668	0.4697331644952266	0.09901775573033554	0.8189020955487745	0.01926601985023713	0.47150737768159684	0.36477159445146967	0.46723605917268823	0.3742512820362634	0.4077658868243959	0.3392445488213951	0.3583072225502634	0.7531522927212062	0.6937121990700705	0.6193799288484552	0.8768808305506863	0.005622407216254621	0.03541106047819458	0.17244034879254505	0.3364143629927288	0.45430304563512836	0.4629006819631066	0.8907403573721702	0.8093957855430259	0.42430403651423354	0.8006124796024389	0.847796769971189	0.05712014908165444	0.7609549862210124	0.7516704987500817	0.274951443917245	0.7514589967715647	0.0	0.8107701125579732	0.3973106036222683	0.12781103854948592	0.8539895811820652	0.5918764561240895	0.8192074801394107	0.8373179570456541	0.411047331543786	0.820765642389787	0.7249401108055711	0.44414225386149697	0.8637317756715791	0.6294022307030369	0.0	0.44490907235742116	0.2536055205903945	0.8849672558844257	0.3300434977647897	0.8081522277803624	0.07574947238645865	0.06504444422167552	0.36480788251828195	0.49936188552111127	0.8822772787056733	0.6939936203095054	0.916179183391129	0.010100277779579406	0.3789227119950945	0.8109095086829832	0.808742597666335	0.11213343064543826	0.36762528824563934	0.49618204451471654	0.08442565123483987	0.8559619340757634	0.0	0.11650420662845823	0.4600657786873736	0.5649993826474619	0.4448355493817856	0.42078826131620456	0.7098156000734509	0.8006704578429575
G7(+/-)	0.342762957715654	0.06619314331068024	0.5214962401132596	0.41006912036750764	0.39707677910282274	0.9359490640261274	0.2738484299130859	0.03631358908023968	0.47989812348413236	0.42329333365987326	0.07264617375796555	0.012593027656029283	0.8532360741471531	0.821649158741226	0.11151741763299768	0.48600036657878914	0.7757888179065611	0.441064257365105	0.4998840295998131	0.5001287205892491	0.4582864224824123	0.5083623414999221	0.026431370796906647	0.8619214769933468	0.8949157802137975	0.42131369858803236	0.06369240638499984	0.8612605817269267	0.057245509980873445	0.47224510497860833	0.41013599142830554	0.4192171021997746	0.39069399092439416	0.42487273258728725	0.4951945937728877	0.32672417137632265	0.89722449383764	0.5989942791338176	0.6521839279663257	0.8427618994807194	0.08758527507649903	0.03828583695077176	0.036048950807394335	0.40732643132597285	0.3647983486028291	0.4466771147659328	0.8784190287248765	0.8094956490554345	0.46536592367050655	0.8620696605262957	0.8847658763873512	0.05027917992768956	0.6426773514871376	0.8290809737962129	0.26573651798231934	0.6934409716502009	0.029753206833979542	0.8790886922562027	0.4070989280504633	0.03434651351615012	0.8849995813417713	0.6380704885561267	0.742458063630503	0.8402632578163188	0.45969185259084366	0.8518102539456888	0.7353866672693391	0.37303787455726495	0.8357905845849729	0.6487506605471862	0.016423994491135418	0.4480151474849101	0.2202850726346145	0.8554436504940435	0.44472651026277804	0.840967514813989	0.08146677947061043	0.0907318550346795	0.4011510482286499	0.48176510949922363	0.9361878292028843	0.750054348184259	0.8424644332905674	0.006829023081607881	0.3768854591261162	0.8892884089360679	0.9084859692914711	0.15898530078904038	0.4187447324989348	0.38225679861360357	0.08304797374228835	0.8813782982672932	0.02324465228124895	0.08818840097612511	0.47734316874087174	0.6053100655719136	0.5113194601876664	0.45252789388516074	0.8283415351550809	0.8584862715319767
G8(+/-)	0.4499570328671136	0.18155761300555626	0.538372780298483	0.449093562105727	0.43048454430931876	0.7952753174808922	0.39041318494717586	0.04601908635313392	0.4338267214452643	0.4460854980614791	0.14029883178560293	0.10752960228135744	0.8848145113931399	0.8020460508965731	0.10084096562395722	0.46028366807224486	0.7801170798149188	0.48969355471798715	0.49934702129600217	0.468017373229085	0.40036944599578317	0.4427022215228893	0.0	0.8592397132676927	0.774792137963437	0.46555838251392906	0.07332861746539818	0.8822718125731355	0.08964784306843535	0.46208241381040577	0.4444952410460479	0.4842583952829439	0.47233786354943336	0.40261646666717493	0.3370685827764912	0.3806198673072298	0.8586726166048245	0.7688363612770961	0.7339166205395319	0.905173014365821	0.0692272999426879	0.0	0.1944864386898925	0.421289387446904	0.4208173508810464	0.3372812874591071	0.8679482805154048	0.8557443979434838	0.35354741995982836	0.8642383210637972	0.7780100052756954	0.06722075245624588	0.6817034357370517	0.8338794492782962	0.29425822579820105	0.7100781620219285	0.0	0.8210946198181694	0.43474779160072935	0.0	0.8339143584185473	0.6628373145922112	0.7768827204762192	0.9081167241771214	0.41666038970009683	0.8529560312113518	0.7197332894096424	0.46237413170607533	0.8123974258482732	0.6025367816245019	0.01927125901725421	0.4179369858852821	0.2137935118205922	0.892241913784924	0.38188908153751866	0.7856555264759323	0.12671711818837147	0.15376604453288237	0.3973233963348511	0.5366592218000091	0.8213439646219809	0.7975401025810234	0.7944662117003567	0.03197009799212473	0.52026883816044	0.7052358824903004	0.8860661691656712	0.14019762242127573	0.45834914882545685	0.4990906688133237	0.06815937119656214	0.8756305669347962	0.0	0.16168317611395644	0.3873901047977436	0.5510006725434544	0.43062507237843295	0.4054778413733975	0.7979280633368012	0.8490167140298528
G9(+/-)	0.3928447586501537	0.09657032711462644	0.5549695172885141	0.3904145558971118	0.3835317152660939	0.7855761444928882	0.4585927554378626	0.038329026836766825	0.22735674882709833	0.38756212582273486	0.12720856705183498	0.05769877303657007	0.8804696680375315	0.8604516404028272	0.06952033818603189	0.43030734482963534	0.8577581728511077	0.5355819420635256	0.510780998152937	0.35887498238128906	0.3812016638317538	0.5043638569561687	0.0634738936996726	0.8320892544827145	0.7686845268695972	0.46429425810217667	0.03623272263266194	0.8280739335279801	0.011724515338614383	0.37434966792104357	0.4714377804011647	0.502177784550098	0.4076407677090173	0.4568637255888441	0.41916583128014906	0.33054944532313013	0.7331796912464306	0.7383865800785664	0.5938874565190845	0.8221933930516471	0.06076140466823882	0.07197787527565602	0.1308658122718928	0.42345878876247034	0.40498594410806554	0.36585543773245643	0.8931723511107404	0.9061120685562425	0.43744279525100377	0.9219821696877029	0.9519817214720707	0.19134045753147355	0.7588661987651655	0.8514194901287069	0.23633666907276638	0.7849912426435741	0.012208466405980264	0.7886264022798631	0.47035110875428204	0.03901067284762613	0.8343989931134389	0.6093823822778841	0.7466444536010426	0.892251435431798	0.45920081668681584	0.8278289473832329	0.6948573222248084	0.4002481959454991	0.8959627991921519	0.6491958697673192	0.0	0.40418576188550487	0.2550429365057122	0.8709588815750896	0.36094289027724824	0.9614723750502356	0.06085403820534369	0.09549355875402267	0.36054169039658895	0.5077582611720851	0.7546923524380036	0.774242214893549	0.9059069710720689	0.0067914273784561024	0.4383945169699856	0.8319659023710498	0.856762427526719	0.20350336775410183	0.40262969644659263	0.3951260917580303	0.12238339363902641	0.8899949006477664	0.05126969201923841	0.1251538587967824	0.4741923635307048	0.6377761949678153	0.3977637836201501	0.4700170551942627	0.8373019954442442	0.8047816583025801
