strain	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
wt	0.45015522473703307	0.11162200869437118	0.5298938039084907	0.3914649106282703	0.4642377084300739	0.8433271076499074	0.43732744044593663	0.07275381855866173	0.4321527891164198	0.36707093975973654	0.08145224353430593	0.1089014986450507	0.8236920343602058	0.8540659309055653	0.03594204581467737	0.45661201570100884	0.7729454070816697	0.4259991792743635	0.38172064895200714	0.46805456233274634	0.43757214811384165	0.4549439749460256	0.06404925061714917	0.8425589463179813	0.861525773365639	0.40715353912215524	0.07474718858728323	0.8606111268154579	0.0	0.48653888340436735	0.5032548644961244	0.46312833093344635	0.3151966660314795	0.4230850428965565	0.4128738105693776	0.2764327827260647	0.7256844859535022	0.6858085887641456	0.596824501894049	0.8715854904693214	0.11059400555370251	0.0	0.18819139553380163	0.4913488816237767	0.47879936773508813	0.44043329959804123	0.8338728267615968	0.9020944104549607	0.4150551673209724	0.8688760045630578	0.8960343402509289	0.07111174937240008	0.7392685338293142	0.8487430499792491	0.203574632126628	0.7167487169712491	0.0455304491849539	0.8210090848572653	0.5049889739987249	0.0	0.9350381216210821	0.5921704740886459	0.8100913173389798	0.8176131283868089	0.41791817764834516	0.7716184621452822	0.7673146529150371	0.40207237208793745	0.8798530197866055	0.5975180270893881	0.11619837901413445	0.35477398298697854	0.23082538102774733	0.8134113492584004	0.42648373857275446	0.7973137043598142	0.06583353466051009	0.057009208794148475	0.46753079622494276	0.3916604984023348	0.8131321263039867	0.793226408883875	0.8492491045777033	0.0	0.3383901894861022	0.8417570137439445	0.9578585728811025	0.19386039356076618	0.404426941500243	0.501608213766825	0.09290007988455701	0.8469118541656726	0.0649999879839275	0.2132664472351704	0.4289142774433026	0.5208139107354031	0.45154684945279644	0.4783174311305773	0.8960882878950867	0.7763212607213725
G1(-/-)	0.0	0.8354332733837976	0.8639696279353009	0.8909326977555473	0.1794898269239583	0.8466713084378876	0.4560298020685128	0.8251786699640915	0.07279953626306411	0.6582250901797367	0.0769751058652221	0.11368536354219366	0.7868112945813945	0.8614227819463359	0.09126977415207763	0.48478034423798727	0.8650726272077257	0.4422658961580713	0.4586566803583563	0.4226480989302443	0.43656749252128413	0.5153984755115462	0.0	0.8099326093175255	0.7797695824575425	0.42403601025800447	0.05530318409444452	0.8038084553901175	0.8358593266821689	0.7421198746098709	0.5413052571913606	0.47425800393815704	0.4382031521252801	0.380299188479208	0.49482461203797257	0.312114410364024	0.812524258114835	0.6884663527368077	0.6349621091234773	0.8806472458542439	0.12673878419958734	0.029923920820666156	0.13426688264768094	0.37564790461541336	0.41461893927413856	0.4656164146801273	0.8201609517952843	0.882322339819589	0.4910792084357276	0.8483183849930515	0.870815897204935	0.09480565895606201	0.7202152917013441	0.7942383431978384	0.31015039688856294	0.6666517242491002	0.0850540651098617	0.8820472528896119	0.46784762038231026	0.03331658037428693	0.8156098660052229	0.6355147285567356	0.7768691029667889	0.7915155330667217	0.33862992296808075	0.7636841710974251	0.678100715655182	0.4199243347977868	0.8588742991200441	0.5621491862870778	0.03775323513762125	0.5106131132276887	0.2789496434274694	0.8862833335550789	0.3588495837670261	0.8714131792511235	0.12849094297075925	0.09468423570054205	0.4820014085977278	0.47110632522233326	0.902256258154583	0.8082078971776456	0.7787643296415061	0.1049031712970853	0.4054569276077053	0.8541247638610826	0.8664318579116287	0.17299341667856732	0.43660444406901106	0.4149597985842346	0.0934706795233228	0.8360848036922122	0.0	0.06541206799023586	0.43252991276118075	0.6357579389710444	0.4186660712366093	0.44388514841878435	0.8684797720493447	0.8202555845185673
G2(-/-)	0.4911539594023582	0.0	0.5853219775349168	0.3944583236976514	0.36922831703384784	0.8476689769543453	0.34729805789123447	0.012200126090615568	0.35088037047517473	0.46257889499841565	0.044136990713299795	0.042245568876190666	0.8425867297522734	0.769393210253173	0.13054760110190206	0.4258418613473349	0.7497129934034295	0.5095644098298654	0.4375225802593487	0.44022086391111503	0.40898532368940643	0.46190024117018164	0.12041038324406435	0.800196954555983	0.8815499131015758	0.4779131679093196	0.07066417754937511	0.8557502983381459	0.07585569363164531	0.4577538061091681	0.42698747027127915	0.4748066207654984	0.3685668857493632	0.37243975127896034	0.36780766636500706	0.32368573031778497	0.8387574090742523	0.6318377523029667	0.6859790727294787	0.8681274596939839	0.08869652927987642	0.017508261121664533	0.18511331499840775	0.3722248114256122	0.4464005883568337	0.5055864121285852	0.8245930983505136	0.8895738411106685	0.3037178796236577	0.8638352534337145	0.850163440422419	0.08652079130793554	0.692418403537671	0.7901503344036618	0.2486048191827795	0.8058229951961532	0.004299723499571858	0.8753894021032809	0.4947253208374454	0.08825514265491421	0.8211521673206161	0.6467323896703555	0.8328965343573936	0.8982541620517724	0.4131450402155773	0.8348014995544988	0.6757693458207539	0.4780832465883127	0.8684616338643115	0.6541456226488691	0.06373832590389904	0.33588489800891624	0.29016930074988295	0.9504995966001984	0.4399285551664327	0.8946717614006109	0.06823741195612384	0.1219696644981796	0.3689972293997826	0.5067412059488489	0.7495429930677233	0.7767369012589372	0.8320484080800564	0.07232701445418949	0.4302325295090038	0.766381401178057	0.8688091398956402	0.1742742531143199	0.3887564884296914	0.4590545511047106	0.09271634198182489	0.8120770851256469	0.019624563612188124	0.12378126234437502	0.4877241892238543	0.5531969587768977	0.4056406963548851	0.36571973478993774	0.8476350582061021	0.8313036733935616
G3(-/-)	0.44383072171123844	0.10518363987213943	0.017892214492683342	0.3987017693809231	0.40663277492355177	0.9076773570072836	0.5154729051511003	0.0866526644131016	0.3923030246733038	0.343392522547651	0.09955090434626582	0.07340395869073026	0.8252687823899775	0.8546332721683072	0.19670516162682466	0.4661744142921495	0.8055681591919696	0.47413326831400915	0.41115473141838443	0.30939653886019847	0.45458769011693423	0.5179830099104968	0.0	0.8546112161404865	0.8373012442155884	0.4276670130467744	0.059667327888411045	0.8292404759962491	0.009410390649941317	0.45879487561930543	0.5185268366308674	0.4727221179730159	0.3140725480643377	0.4189420808677063	0.41014937130972356	0.3423783560402009	0.7551236769779923	0.7115907041670287	0.6055397483208701	0.9344224323235555	0.09598568570582902	0.0	0.22124210418066761	0.5044187321104314	0.4213264850212388	0.423102228016422	0.846017745923367	0.8937897174171493	0.39834191075216496	0.891542127643415	0.8945398854118831	0.0528785441141723	0.6265415121830084	0.8592787502311434	0.283307542688212	0.728508947312306	0.08363943157247972	0.84286536281027	0.5036692152759776	0.04784678263682283	0.8184351354785319	0.6527833385928827	0.7830466112747702	0.8113868941027041	0.45467006718551417	0.9202538900033832	0.7024176570647177	0.3934340247034546	0.8403978307727905	0.6186835664101887	0.07055076861211755	0.37916687445474795	0.265589648806215	0.8202278093496532	0.3368737789661824	0.8270244179284131	0.0	0.10628838715393149	0.42444614390402924	0.41552479625590943	0.8540079460205061	0.7771436740092119	0.7974722118411016	0.0064164613184815944	0.4098685785828241	0.8183462824543004	0.8189342258467792	0.1805586808776847	0.37135475058968853	0.4604751341904156	0.10667657374258974	0.8468210878846898	0.011133371258386223	0.10020931949741588	0.4278724265199182	0.6049439773309457	0.428847775869511	0.4156085267510105	0.824621575748643	0.815958286027678
G4(-/-)	0.4795184061493132	0.15835814250127975	0.5656499836865477	0.0713851252718557	0.4078271664752304	0.8703924154277423	0.47584612975532864	0.10750421196501485	0.4671796173206387	0.517740109714988	0.09589437568025698	0.056265526446551244	0.8241780856951086	0.8673923542242747	0.09417691548612282	0.504015822342394	0.9203144063366429	0.41650896983800084	0.4454397738473085	0.43529824383655785	0.4309246927123694	0.4628839827082684	0.04621534349582771	0.9101055162678133	0.8666988202241432	0.43853941891320425	0.0	0.8465895786155082	0.17628448000189495	0.4492722824904035	0.46795203735967583	0.42347579322162887	0.4085244548559875	0.4862201649267361	0.40839040267230253	0.39193790313863536	0.7861374933629344	0.6367763160700409	0.5808255024633355	0.8928831931527932	0.10462599609825243	0.09465142891220603	0.2024660727715409	0.4479849666852588	0.45911358998925744	0.40496757210343803	0.7896875188235368	0.8179611769861733	0.4869125136470643	0.8411391983051415	0.8395855465327879	0.10639799249661347	0.7839532205951376	0.810983409664909	0.24406284474036513	0.7121271013405042	0.03243694555093516	0.9170232329009261	0.4931487111668706	0.027513381547502314	0.8293323219161469	0.6195465378983088	0.7731348917559814	0.8389071295197904	0.41758827104557217	0.880169574924512	0.6582873357025453	0.45165616456338653	0.8406195398810714	0.6599314436243322	0.04516379096215434	0.4414998008833011	0.23953404842286108	0.7532130623733909	0.40576901128848597	0.8701068737156324	0.08428951290205375	0.1356086699749087	0.46627241934602603	0.41868918199093824	0.8702731420067362	0.7905051886220722	0.8358177759405508	0.07606949092567333	0.39543157468112233	0.8569089721305805	0.8638410066904048	0.17498297850564629	0.4415932354440919	0.5221091283631051	0.0	0.8339765307261681	0.0	0.2177962641361639	0.42883364860227136	0.6236383526860388	0.4641744100199467	0.4164657947147081	0.8823354604563974	0.8063320179692288
G5(-/-)	0.4713775111460881	0.1319634023363656	0.6333091259914272	0.41443212796494155	0.07695316826847004	0.9007293848058893	0.483788774015078	0.14410783439179925	0.4397918197653736	0.48844059437161635	0.06865961747789882	0.0	0.8501495729788215	0.8192717340874947	0.0	0.48984940620873724	0.8009403872589345	0.4375299285179578	0.4793241666790008	0.4401414721254492	0.36568728018035046	0.4661986095036158	0.03556769122859363	0.9464772793769171	0.8063767734936609	0.43485181634498626	0.13263692948162453	0.8484493703319713	0.07736590867911193	0.3981745094152962	0.45690506672686837	0.49764417437774067	0.4134870557625788	0.4301340468206748	0.3901432655224711	0.3478262574219072	0.7647463662837187	0.5976205582398556	0.6341529027264896	0.8644409176922238	0.011364545266889682	0.0	0.14399638295489547	0.3976792289649366	0.3755016123738357	0.49012765782974527	0.8587852559943174	0.8645360412609366	0.4279292318525422	0.7814873687954103	0.8763331645410214	0.08273531475225081	0.6565930721769517	0.8139498895483726	0.3125348931519049	0.725638026217737	0.06825191853475014	0.8913974850460851	0.43388422230319895	0.022412415365030018	0.8895739097981412	0.5631940997953795	0.7744839714564395	0.9286163544559776	0.46228502447043507	0.824439802574131	0.6925558492763405	0.44303565198949524	0.8143428376436493	0.6274336655573837	0.0	0.362970858902523	0.3136289191260897	0.832719014068093	0.3526813581975173	0.8018799265955894	0.0	0.11910995482727448	0.369236823461398	0.5077155694982154	0.8507242438926047	0.7773340473031911	0.8922654101103543	0.11543291902715147	0.4176373846676881	0.848408931385116	0.8650999406327021	0.19274001323097026	0.456628383109849	0.39879410343982985	0.112659789702655	0.79543971440497	0.10297665500389956	0.09512894195740601	0.4271140280001288	0.5945092957181739	0.42573364363940563	0.4146839594604597	0.8435167226122454	0.8459183596045
G6(-/-)	0.4044240732580116	0.17883138047732813	0.5695481496263299	0.7843876930268415	0.6569174141608675	0.0	0.06751073991474466	0.03194216341459406	0.3849995365344336	0.6151837053803352	0.9015109866456503	0.796678193672096	0.0032758841400042336	0.0	0.802980350153803	0.8324984401822971	0.10355790115937566	0.7907143452440717	0.08127141034370278	0.8573510972325605	0.0	0.8327983883987364	0.9156135292791354	0.0	0.03221786476659308	0.05003993738779721	0.8044401311249075	0.013920081584570945	0.0640189519257938	0.4271426195795759	0.43567204883715355	0.3541424735420314	0.440053127432626	0.46225895489684915	0.4755628316454721	0.3424499815973834	0.7999481436431427	0.7215156781516904	0.6272323998884288	0.8199814732840119	0.12648286320686872	0.033465020912148015	0.17048359003090097	0.3742194241385559	0.47642018625068633	0.4387126666346569	0.7715869085738069	0.8274526002732406	0.3696855625146051	0.8240551009926709	0.8721496574723654	0.10632057018276905	0.6868200833975401	0.810972847262195	0.2672806557835205	0.6768629781785829	0.030500204323966884	0.8515106081169527	0.4109970433709453	0.03182860682308133	0.8271837777044262	0.6076673375359082	0.8019382334112395	0.8680216870177953	0.40416239795806014	0.8451852949904622	0.7346353984910565	0.44521445116052644	0.8116599513372504	0.6023484070209704	0.0	0.3501221009734726	0.330329500477781	0.8829757147365086	0.45283716659555523	0.815530786906054	0.14877935358458674	0.05912113794930765	0.5431877584993933	0.39824764726641937	0.8296618089768232	0.7281625287362604	0.8409521982464955	0.023457660448113413	0.430360277877003	0.8557165531369241	0.8969595224758672	0.16241913824253515	0.41474645910579744	0.45773651234540697	0.052939963672290015	0.9096663025670585	0.07257879467703664	0.1533502342446395	0.4333740931189705	0.6862441000450312	0.536965509955705	0.42982851625585883	0.8834191289664951	0.8809088814661925
G7(-/-)	0.4359563709551187	0.1196832760368558	0.5727533936074664	0.4430383724481281	0.34128190765351696	0.8594468657050095	0.051052194966275576	0.0	0.4447301749830593	0.36874685219070136	0.10392735500042438	0.0	0.8812962223279767	0.839886486994037	0.07686665734624325	0.44034403180134185	0.9499846117185488	0.44690619636701634	0.4580722240936687	0.4333714031819178	0.4490783040596832	0.5201214258348936	0.0295798988824167	0.840977549747726	0.8482412730167439	0.5515141644722565	0.08721105614299189	0.8549804304900066	0.0694845960594491	0.3939361620447341	0.4086536768555522	0.46316960040009425	0.39290771326859897	0.38754508872071153	0.37427503014350794	0.30088680451280453	0.7178830066612211	0.623189346171938	0.6147382938917132	0.9658115289906665	0.15779965131285298	0.029732904414498842	0.1461313179656489	0.45773353023778374	0.47583951127549573	0.45201242488784	0.8555640361829301	0.9043626462238419	0.40827535374786583	0.8037729291481823	0.8359556913320965	0.13479093943434728	0.6672494323094609	0.8324082593372246	0.22425062191342174	0.6573812388573747	0.05622380561696598	0.8583128281266513	0.47685894479911195	0.08032164680499437	0.8501200959758985	0.6010615132221306	0.8072587948488403	0.8137096644175692	0.39998730807885907	0.9178320582293454	0.7211151215570965	0.45624796597980005	0.7927163687167745	0.5847481819748589	0.013667029517804165	0.4560760473068536	0.2089084319506041	0.8227412191631039	0.4476789892625522	0.7868445188708426	0.045552268578043606	0.0975002955688844	0.4656710241578658	0.3825282126470244	0.8041294310876372	0.7379447488205729	0.82297141245006	0.0	0.35624137541260564	0.8668112926460662	0.7780452259146886	0.12528536473686427	0.36299493049598536	0.4523485322416755	0.09325750275096084	0.8557611107112083	0.0	0.12719235612195345	0.47434922463839974	0.546906075525101	0.3984064639930389	0.48280957075230946	0.814539653413173	0.8688605427307335
G8(-/-)	0.37489654987579407	0.120793067303181	0.6111965650830671	0.3833720129834961	0.39907788521379167	0.8773500203477426	0.4060539133257558	0.017856472406047062	0.3934357535112856	0.39562891786250043	0.08248762324005204	0.016444684871701566	0.8381571865392058	0.8968743516091452	0.1272976229283928	0.4313088427964135	0.8412325620085213	0.42883663228355834	0.482889817310301	0.4222174885218473	0.4547962336258269	0.5393826841638507	0.052867436925353346	0.7758618645991713	0.8309718517248986	0.42720075490119275	0.046122894402730416	0.8349219218305882	0.014923252490702643	0.4340694638226805	0.4356440288732434	0.47199085943115004	0.4131468125867136	0.45459304691868235	0.4497119359681007	0.3938002695055423	0.7587107816348119	0.7089536773593109	0.5770433824073139	0.8451292676734872	0.13711948161552676	0.04338195253701756	0.14790204436017784	0.45483800815912456	0.4165636540259123	0.39287310777039136	0.8572993319558284	0.8082629744447538	0.3994693371786802	0.8265855888490603	0.8674915834965594	0.19182084985684553	0.7628401234892793	0.8623079571887261	0.2544491054483103	0.7346656206926118	0.020584125037881956	0.8843816720463638	0.45475782890398875	0.03527073375207109	0.781019070934056	0.6129074379624453	0.7520082202967692	0.8211890610203957	0.4545630088420975	0.8203523463829555	0.6703361263224147	0.3912060981245496	0.9083022062350838	0.635951644112441	0.08629121024992313	0.47148939299454906	0.2961830192000216	0.8834644755141605	0.4137575244645606	0.8073101592867693	0.11371003183382179	0.06847502920239561	0.36720415915864313	0.5362645744990712	0.7968599403133714	0.8230312357270915	0.8375148696267133	0.016595848990745624	0.35177437629485453	0.8996746765104918	0.8641613434711853	0.12442289765353269	0.41871602921763906	0.43610027819962155	0.07770668321819453	0.8004109266947464	0.0	0.09268337898776967	0.4811996695666071	0.4922225038407912	0.4215963284524952	0.4935972799122034	0.8712018509746529	0.7691878136222648
G9(-/-)	0.4056263438231683	0.17256315923250892	0.6153981148176191	0.43038291032697507	0.44800825614941	0.8228197000771373	0.35724537702473047	0.036851883778184734	0.005901566838233427	0.45073760836554067	0.07687644471773115	0.05188749704778041	0.8145216999482894	0.8586147730393704	0.006387194905446959	0.4132333013684633	0.8306828199116238	0.4458526541708275	0.48254471799861337	0.4084487817750253	0.4876153485527787	0.5124257533714737	0.0	0.7607439343469334	0.8958957039940565	0.45319566789139637	0.07165129787614653	0.8809152425528124	0.04217722072649316	0.43037284492465366	0.4224391649172073	0.383642426268277	0.4128556118573546	0.41040072957185564	0.4716175947541923	0.3819818403600549	0.8058463607272806	0.5915217154226288	0.6857563588297327	0.8248250460777071	0.16160168315104412	0.0	0.1679725254617806	0.41578932832311705	0.380384481956862	0.40556926179100494	0.8073584733717785	0.7934593599222821	0.4864509118833726	0.8849418286247448	0.8534164033807285	0.05093470142193901	0.6621933890737085	0.8109815639010919	0.2452904030131997	0.6749759208375342	0.029763112667059336	0.8527627509213367	0.433020962641446	0.1401406557136563	0.8378507854937864	0.6257628298077761	0.7901191001953239	0.8921593725896831	0.3949110164179633	0.8435871744300011	0.6982572760878233	0.45835537248672403	0.7531568088415914	0.6206314505443918	0.020049301081983748	0.39232617861384744	0.3119736289936125	0.8059796141404713	0.4205686864319536	0.8613047540240899	0.03170723858093069	0.1139241334791793	0.40964791894537883	0.5232527631922754	0.7672543068789172	0.7377060829550975	0.8302432891304964	0.039860508634495154	0.4857063200489533	0.8340943950310176	0.8600208765358227	0.1378637273103472	0.45201524359296946	0.5119178345983888	0.070456210952426	0.8373242683246488	0.0	0.17600861159961825	0.39302273330270554	0.5178327275922967	0.413556174807229	0.4077132383655201	0.8462329573287857	0.9201537711455039
