strain	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
wt	0.011935810017756985	0.7798471307117942	0.8861393246567121	0.12656428470828915	0.2802904627627772	0.1590054758077724	0.6038340554729633	0.4227878167389809	0.8464835804083592	0.6399369272196525	0.3732381939764629	0.44263945349805367	0.7925601602812957	0.387036917915035	0.46278959051651763	0.08168874871547116	0.8210255617862016	0.48625893534822195	0.8861091957113045	0.6058991430448082	0.7445279220230072	0.10083763191170445	0.0	0.5593394264594826	0.05063538929538854	0.5252790067917743	0.7285937009630772	0.4050322144813109	0.511044677443824	0.891191273356276	0.49655402090571843	0.4015313868437249	0.09139524365087755	0.08553306456426267	0.6014617375440324	0.023465092134722143	0.09756829611200127	0.6426903479176186	0.8091867462189162	0.7386704129787004	0.3092919599801756	0.5766183141608552	0.7946308387450624	0.31006462912989663	0.7988596269098467	0.7473700402268593	0.13033566644690558	0.5234387854498319	0.6731331318470988	0.7678760495421062	0.7532155644540499	0.23350758495016602	0.8656404951598323	0.9227823814951122	0.7916604926865499	0.4179122005209893	0.847544007650074	0.18077547108848036	0.12976000365537893	0.4466068631321026	0.0	0.6944283491514881	0.5429518877440839	0.40480147696389546	0.6779527145701756	0.41486366604581587	0.6207563296812872	0.04094767437360586	0.8219462432845217	0.36182970211177123	0.23434008709523005	0.7948367347349271	0.4108260818605172	0.4437321980467441	0.829729812586947	0.8191912102711111	0.5310004894945622	0.5800907609301873	0.4534440047686752	0.36947600593264684	0.12087621014879629	0.5252983480496852	0.4498660182477223	0.48129614966210904	0.454959585028733	0.5371565579203261	0.7467436685115862	0.10193286718906867	0.4763543296198242	0.028628134767932578	0.8327702221013454	0.5911022749944649	0.2087095506679883	0.5640041960717221	0.6450343027738967	0.7392792222696735	0.3812068670178772	0.41673184428666193	0.17638709567464977	0.7250670872151349
G1(+/-)	0.0	0.7646987612082473	0.8616395304199161	0.051800525231968826	0.35528613407141657	0.2887711221405987	0.6201959661585716	0.41186200096868547	0.8827279602014835	0.7177511768589467	0.4933393375169771	0.36049414313970446	0.7393464813232283	0.38729592237602556	0.37731453958920635	0.11332916653943875	0.8704876063548407	0.41045097312207707	0.8980486493538481	0.5231720458501742	0.701867383612199	0.07202506665141366	0.04482118624027261	0.48806725265341433	0.04950325160238195	0.4759754152009654	0.6883471985652075	0.35131642422159126	0.5781273682245366	0.8393764771400216	0.5301943565835793	0.4597313074019378	0.06066604620143902	0.036878090074389906	0.6700974822557834	0.005019736674589527	0.06194368296782305	0.6226804005478187	0.8431548605500413	0.8193338718744305	0.15738471062346235	0.6239039148635037	0.8391906596174563	0.3066641618367001	0.7464487824148667	0.7119451472107167	0.1332945574153104	0.5763332159771277	0.6456961112282475	0.774752754071937	0.8517479831996784	0.17710294655307812	0.8363397460497304	0.8942913917664466	0.8217832843417334	0.39637010132308964	0.8574942768916902	0.13095157709937383	0.13458797108462317	0.4152519676595371	0.04668556946525986	0.667830080281533	0.5027774699086794	0.4270123916618776	0.7437555762855899	0.47673040762831564	0.6137081019902223	0.01158182314174042	0.7706639278438744	0.3792837962301837	0.255905360202784	0.7854783419758212	0.5132970106288719	0.46960093436836675	0.8136362151121332	0.6996075018571245	0.4477540198148825	0.5214422416727816	0.4246865313076251	0.443829930479515	0.14369338851191318	0.47218337076509154	0.3391502524184712	0.4728686892109192	0.3978283508617433	0.5820900598877038	0.7573932630520704	0.11734142913993695	0.5370127799737	0.12375915350052975	0.8463673675260811	0.49509659608753215	0.18473710876141308	0.6321535176943772	0.6584778105066035	0.6397235970246407	0.2952036583062516	0.4354752979027104	0.16627391580590842	0.773031647212042
G2(+/-)	0.016939565631939397	0.3534281470495923	0.885900479723995	0.17185631996175468	0.35757696982250714	0.11593625718951972	0.6634603103231057	0.4641442515347477	0.822391063786218	0.6307011773587604	0.3635428256861003	0.42020580704830085	0.8165280122436372	0.32118489220407037	0.3820235672864033	0.1517666961340343	0.8235109162240177	0.46499443086922126	0.8543957142411859	0.5226726440940432	0.6656820940967404	0.07197123809741869	0.03169969258604731	0.47036864715108084	0.08869073344246226	0.5947344515959723	0.692118027153072	0.38342260132215833	0.6307053046670975	0.74801000091592	0.6414712092943371	0.4473791850686566	0.09376914351394153	0.0419684647475653	0.5670060681981992	0.08456161995639229	0.043803626130452765	0.6476890205541832	0.7856140953841154	0.8101721623375405	0.1275741824717426	0.6338919961854071	0.8025982885216596	0.29226430638897405	0.8197930084069452	0.7520297288346791	0.11305423328468908	0.4718395806989437	0.681367953460216	0.6957972798740534	0.7958469287670046	0.14572633079458314	0.7193461305402727	0.8326743388596196	0.7896864066207687	0.43189112890787906	0.8335685720351559	0.250228556342496	0.10361703350224657	0.433576011523531	0.024588917734700913	0.720324017965644	0.5132481108766516	0.4935158698583916	0.7974795159632454	0.44893394145395044	0.7103265999804796	0.07226043507071168	0.8832751104942366	0.35730006468235137	0.2799802107229716	0.8798743549487255	0.46670259021023847	0.5174096917470983	0.8109868876013858	0.7125937940828312	0.5199443321089404	0.5262876749237712	0.36241697031401526	0.4805667983693084	0.18252938115203882	0.508166688488098	0.38809457860692514	0.4300916926953367	0.43603154885755085	0.48859546381119123	0.7149219530585667	0.07747986168986795	0.4732916514260302	0.019862671072315197	0.8869315142794506	0.4377069616720266	0.08710542595080104	0.6208548572055771	0.6650867234410647	0.7147834677624604	0.31542537853778796	0.4684732273663641	0.11531343562336714	0.7838916299663364
G3(+/-)	0.0	0.9006485883736508	0.38704394875020187	0.10947208028750514	0.29640188531052025	0.14412745858843534	0.6123023874510117	0.40315626697051765	0.8502344884907125	0.6233580478468799	0.43457348388900685	0.4535598888481626	0.802158732383946	0.4121025544294401	0.374406829817546	0.1048932956408639	0.8427451399990356	0.43282653602249155	0.761771392796211	0.5378792294915721	0.7082788208030507	0.06112802311114982	0.034324318533629716	0.5791594143440467	0.09327827919649667	0.5470083543495392	0.6807999153099566	0.34925336289895426	0.5774225958389337	0.8765068498758143	0.4588722233029004	0.5189586351348615	0.15052963359391727	0.032298552426896436	0.6404228497219326	0.0515133608115966	0.08270385736309357	0.6072190024785621	0.8139300784278296	0.8390998248344692	0.24996201628365067	0.627625073156401	0.8161077506249098	0.2308426744830797	0.8616583617761039	0.6536744952386827	0.10661136639594514	0.5327165596353411	0.6478900339346463	0.7133442507560706	0.7415920271923534	0.2938470922380274	0.8192857406636249	0.857209670353322	0.8174698390247054	0.42249654481011956	0.8535760750570222	0.14832754166786796	0.18850561268421118	0.4897302935725222	0.07315369571957184	0.7018568700722845	0.46682545442668866	0.40509815536893534	0.7920291604347205	0.4547133703196943	0.6688737595265751	0.004358167638770805	0.7802896602092003	0.3719044659207639	0.2929731283855157	0.8234061825701167	0.5132736009256001	0.50713088141058	0.818369202347048	0.7064612974704542	0.4875831567033845	0.5917727609667035	0.3842588346950788	0.37172678772767	0.1820630802917739	0.5212969956978474	0.4061968855476632	0.4970971429104545	0.41447043036174036	0.5411661841330019	0.7936649703866179	0.07475033702690695	0.44525379423083206	4.185465626358743E-4	0.7995073999835095	0.5143591068401682	0.1688247844667701	0.5933295133726468	0.5956881475457904	0.7803854070621661	0.33399891722217856	0.36425604045873955	0.13618121959817728	0.7870348695457557
G4(+/-)	0.05729494134879929	0.8121173071322957	0.8381507952658426	0.022486046523294896	0.28464083649676997	0.6882710009190498	0.7539910953706351	0.4541675025813986	0.8344924123319479	0.743386627283729	0.41311680423551495	0.3479833765020865	0.764865588218121	0.40789976940243833	0.4423731282087511	0.06592412039269357	0.8318673765810385	0.41789917214545264	0.7974067774910175	0.6216498208979895	0.7253936759605174	0.07719325659049847	0.05305698171267747	0.5432630655932643	0.0	0.47161402033786853	0.7309129604289426	0.3534139180008694	0.5540291833440842	0.7445674436271034	0.5415093018022376	0.5046863823843062	0.10539679604084268	0.031611113005277865	0.589784268079459	0.01889415062623787	0.07442295938416482	0.5540872696675471	0.7826369008544488	0.864442408028667	0.24263975034147925	0.6639789477476685	0.8447647287335299	0.19491552551792948	0.6860206620413488	0.6915021861332482	0.09794041063700563	0.5311430704900443	0.5983897577239391	0.7374943643945184	0.7886199427081825	0.23058340564362692	0.7796447459748284	0.7859786194366982	0.833087876792074	0.42319323343711646	0.8879911246167611	0.18393654366963336	0.14008694692827625	0.5388545880272494	0.04469640460509633	0.7115156910148912	0.4779857272437375	0.41534679686539044	0.756550512720422	0.4612416333417104	0.7263011490324592	0.0	0.7716551863765938	0.346208160794383	0.2521869217773309	0.8559057327190437	0.41679840207443014	0.44456953044109104	0.7904102483985002	0.8123555716553068	0.4603042259970567	0.5345411052537987	0.3013010490263249	0.46985307780325164	0.15593657306425493	0.46230072038148784	0.39214674675220185	0.432133867786349	0.4115902560086963	0.5315301976771402	0.6309120275543425	0.17202654417580443	0.48530602144058554	0.03769429600746521	0.846897627151873	0.45735786618533736	0.13585944314529128	0.589344095772064	0.6643363940776409	0.6752385563230989	0.28824428848388794	0.3925234335965225	0.10476230871333243	0.8059208097432307
G5(+/-)	0.005058018071329751	0.8483089255875768	0.8063351934816815	0.13237096273043789	0.15155993284281863	0.17762229748237549	0.5425504965579393	0.42505447835768884	0.8466186075983366	0.5187856888879525	0.42865867076154723	0.42693398163102503	0.7986046468511147	0.4661783361757301	0.48328888668483216	0.0642748062458526	0.7567244895508235	0.42066704891520446	0.7975443068124806	0.6069359020164126	0.6129963856695628	0.06519568314929504	0.10715191086391429	0.5727936856600733	0.02006257578971775	0.5046940608665632	0.6755151384557984	0.5112109789605893	0.5112419184413437	0.8353356671787836	0.4490454869877576	0.49259030845745005	0.1671697889477084	0.0	0.5661660297658928	0.026266575431511792	0.008292477403563165	0.7207865571403602	0.8170365719058297	0.8450727872323073	0.24291530547842993	0.674976441944599	0.7890990037287995	0.23999397247723334	0.8096442772598085	0.7310862669516881	0.15726598338775347	0.48584129736946063	0.6135151912997573	0.789087400463865	0.7679897504701766	0.27046165195714456	0.8120890040300064	0.8479406494541708	0.8017938494042304	0.34566445921822286	0.7967010217821727	0.1551008085508063	0.05138555589352594	0.4554681727136157	0.0	0.6009818297604383	0.49812766664192004	0.39997136003757566	0.7188929995895625	0.4933378585969182	0.6101021966156811	0.006950358590169964	0.8735873789644916	0.4075775589194882	0.343176541847173	0.8510676156834722	0.4710667347090269	0.450648988293507	0.8530497525261024	0.7260711172800013	0.46240652660592907	0.5409677735101726	0.4139856757543841	0.39035964058775935	0.10927179796852668	0.4909303226539548	0.4756297699010773	0.4492689835506692	0.44925025648078837	0.49766119648522594	0.68648930279867	0.0772366780350254	0.4658661998007303	0.0985501219665514	0.7734894197589985	0.5223378652059565	0.14841032591638526	0.6106756773302859	0.653684619753548	0.7394702784081919	0.33801211352787663	0.4228297102685111	0.15545928150022748	0.8246458737011851
G6(+/-)	0.03808880091722959	0.91225208075034	0.8387676381832997	0.1448250531639304	0.34641629874654034	0.02413709674647019	0.6709174589262107	0.4614959763996549	0.882823186328766	0.6600626896753348	0.3919649886385967	0.40681725982015643	0.7408518850161045	0.3212188396299212	0.38970383398231023	0.09673602742373451	0.914303765183845	0.46981992012035434	0.8106189352735141	0.629907293513466	0.6643748782149698	0.0	0.03124033437023564	0.46263062971507324	0.10322991463683444	0.5167125750528238	0.7054054155933331	0.4861290870916117	0.5712605633998262	0.8053382092768524	0.5190349437147489	0.43265623097692557	0.1304907320247056	0.022003962569895223	0.6110959042423203	0.01952066136830156	0.0579043726520989	0.5379387470400608	0.7797302016939947	0.8356463998939357	0.20622913828691553	0.663534156661221	0.7691163649228455	0.22921289389994573	0.8813803318419747	0.7455778063741595	0.14532843636804876	0.478509861416025	0.6853933836512318	0.7587800833473081	0.8409679212776884	0.24683408249349365	0.8462636488043442	0.8444131065019239	0.8608295936852661	0.3743257453621687	0.8219440024610009	0.13405187468707686	0.13786380210292773	0.48254287581652244	0.017149484043337295	0.5832202623603319	0.5699949295706148	0.41083832516886815	0.8113617106717742	0.47155396850056974	0.6313330265660422	0.10151218111484342	0.8808882101397862	0.3934064285836762	0.20556488445618784	0.8137526387669548	0.44660106402152433	0.5186674537676857	0.8201916763813529	0.6936198151865571	0.5000604699240953	0.5174377112169024	0.32902655312530454	0.41811944545490265	0.19893887619025377	0.5434107000148253	0.44978072094871085	0.5017296227348375	0.4193834286667719	0.49377460161844444	0.6966377953041737	0.08540344571959843	0.5184950419634742	0.01934178110837295	0.8282097367679639	0.5096143605632253	0.17239493035850226	0.5586544950492811	0.6685526577205434	0.6486061905213113	0.2971836138240384	0.40704501686277816	0.09464478130309187	0.76212612086852
G7(+/-)	0.008533809822362405	0.8138937449292728	0.7929442491661027	0.055339984175569866	0.3330249117295587	0.144462704772844	0.36326597193199794	0.4086805548195869	0.8427730524172011	0.5470779362773566	0.41779323878002905	0.4482838809591397	0.814094606254452	0.3593179353690052	0.4468538266456405	0.10832060650632895	0.8540203947796242	0.4744766295317452	0.8835689774577191	0.5784951689112967	0.6623470496121384	0.08584492906165203	0.10179952910272029	0.5413215197348368	0.06623902767476973	0.4992330579101432	0.7031781470920602	0.3464264034143374	0.5912920527848129	0.8389710199675297	0.5030420633467387	0.41820424457068167	0.1598868850855465	0.11484510153044213	0.6042593962461474	0.029020815899407908	0.019312927344665876	0.5516224027061262	0.7390677866231328	0.8562841337097188	0.23225236093113238	0.7021768374700336	0.7815051591866169	0.22426222990252337	0.7934144468331217	0.7677688901367652	0.16263157676488044	0.4817164007957823	0.6157275705392887	0.6918905730658197	0.8204345354886236	0.08223204400759423	0.8436376094446009	0.889745230778083	0.7706917978033734	0.4002666886285474	0.866127396525963	0.2429102726860489	0.09107057049732258	0.4962313559326823	0.011603494789169224	0.6426357160252231	0.5202423544431368	0.415695938662494	0.7874797344690575	0.4212918281386095	0.6638233287466172	0.015028239753960934	0.7653517193594527	0.3401164220212465	0.2917271064747606	0.8693947498077108	0.4681835042178402	0.4531904472678972	0.8591452608576202	0.7547567242183911	0.5281667623954202	0.5277779991940186	0.35218182093004796	0.4184154836081371	0.2341496864912468	0.49243784028504867	0.4204238432642887	0.2872893865820088	0.3848058578433153	0.510614494292156	0.7089864094924322	0.1019584158578901	0.5295883522366113	0.024495583525560336	0.8708399822575219	0.48080126212983165	0.11430739662637382	0.556131715172142	0.5846767332267134	0.7340394376609576	0.3123011428421879	0.42382813006980957	0.12674324888302094	0.8379200663638962
G8(+/-)	0.0	0.8826544246082697	0.8469367244812831	0.12909504739227345	0.3374576343963001	0.3478595876969407	0.6973002736878314	0.24904470034550769	0.7743425520709428	0.6264932543849321	0.37698709148536896	0.44173705200987096	0.7728890196500359	0.4042862287089156	0.3742406630735267	0.0798941690852713	0.7467595305316153	0.3803235476908198	0.7857980238760335	0.5523521498958438	0.6973026426020326	0.04829627265556015	0.10945194862852706	0.5246118052221956	0.0360870625625969	0.600079537771025	0.6948219996800731	0.3922869672988893	0.4745513609660394	0.8466985720320542	0.48386044334531453	0.46604575493174727	0.13107438780116382	0.015441534146478045	0.5896722069002704	0.0	0.04087617716818568	0.6268367957675959	0.8773965664161734	0.8280251799288844	0.12189990920570735	0.6135063977277331	0.8433659804939218	0.24450044575124583	0.7560099301808956	0.7422953681257074	0.1276205575138192	0.48911776272304486	0.6626911589558544	0.7429185992019928	0.8578394715592166	0.16880397536668726	0.8365052439669629	0.8349324843609692	0.826317294639029	0.46249129639901887	0.8065626868416669	0.1670487821756701	0.07203823023887167	0.43603378925764885	0.0035271308845510924	0.6472380306536967	0.49177559089905676	0.4047775285943713	0.7514239007072869	0.5140380826025274	0.6537261194846999	0.004839487255949487	0.9098789743072151	0.29074783256671133	0.22328326076951344	0.7983847470924866	0.47161279435511794	0.45987464612998247	0.8076754767095131	0.7507800726311586	0.541379354176665	0.539454426979053	0.4009817652148605	0.46548503754348974	0.11263471523066969	0.5391018775023091	0.45810038286080934	0.42118861145900566	0.3847793686298593	0.5392698599623205	0.7989079023763735	0.1206615672931907	0.46160071574791117	0.026787483518431535	0.8550787640629118	0.5169535222031266	0.178197121745149	0.7109024309971436	0.7258317915475778	0.7193188424303678	0.31385818049108627	0.46428450813175576	0.12058640159370435	0.8622635195574234
G9(+/-)	0.0515180340702176	0.8178294314340661	0.859527234284745	0.18844217189545598	0.35763395577491575	0.18025298080974655	0.642278294799216	0.3916024784902149	0.4927949377604331	0.5686733159786178	0.40679472579253145	0.3868043451585935	0.792221508272212	0.3152463654145826	0.5068311773370948	0.11810075317149311	0.7704155608079067	0.4643535786534202	0.7224978304808823	0.6031820361590067	0.7420314811546721	0.0482293979781126	0.07728181299282195	0.4543123230240777	0.08143951157591385	0.49360706755251244	0.7104642292426598	0.26959484704162273	0.5816985646733719	0.8287762845627813	0.4610074010592599	0.4436603430853252	0.13642652517742349	0.0	0.5876677676162485	0.04717163395980435	0.09728214145796657	0.6207782702265935	0.797013195023776	0.9072450307181503	0.29719380554470765	0.6692992056692038	0.7771651073435053	0.25731172406867686	0.7664780065348459	0.7252648094428634	0.07790322966285872	0.5078126566144414	0.5679852890463455	0.7343333351420251	0.7693446111386626	0.16353247503002513	0.8135601591022483	0.8848213305193152	0.7674871516222791	0.39246941564954996	0.8751436944798082	0.2090118510835834	0.12824414348049173	0.45636676404346815	0.01958605422261255	0.7229233167651364	0.5423707347311939	0.34532055375252085	0.7965742817433182	0.5202042804985066	0.5999445822111289	0.005654244493427786	0.8152538095350532	0.3367015122038855	0.2878267807019258	0.833969396230412	0.43537579569666546	0.4308938481035227	0.7982298939293179	0.7108543780478378	0.4962135339962324	0.4724999973940274	0.46494016027378043	0.429923878263807	0.20348617182770667	0.5019868124071851	0.45297261442948417	0.512179217618478	0.339872331186058	0.5279079086398285	0.7254141779137045	0.07884296125839584	0.44582121456703205	0.05989898019547931	0.8644041482270621	0.5171127675448826	0.18296260396900868	0.6270708971694957	0.6793126525457771	0.6624643707953478	0.3825159530971531	0.4215342538004781	0.13477384778213145	0.8169909815178085
