strain	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
wt	0.011935810017756985	0.7798471307117942	0.8861393246567121	0.12656428470828915	0.2802904627627772	0.1590054758077724	0.6038340554729633	0.4227878167389809	0.8464835804083592	0.6399369272196525	0.3732381939764629	0.44263945349805367	0.7925601602812957	0.387036917915035	0.46278959051651763	0.08168874871547116	0.8210255617862016	0.48625893534822195	0.8861091957113045	0.6058991430448082	0.7445279220230072	0.10083763191170445	0.0	0.5593394264594826	0.05063538929538854	0.5252790067917743	0.7285937009630772	0.4050322144813109	0.511044677443824	0.891191273356276	0.49655402090571843	0.4015313868437249	0.09139524365087755	0.08553306456426267	0.6014617375440324	0.023465092134722143	0.09756829611200127	0.6426903479176186	0.8091867462189162	0.7386704129787004	0.3092919599801756	0.5766183141608552	0.7946308387450624	0.31006462912989663	0.7988596269098467	0.7473700402268593	0.13033566644690558	0.5234387854498319	0.6731331318470988	0.7678760495421062	0.7532155644540499	0.23350758495016602	0.8656404951598323	0.9227823814951122	0.7916604926865499	0.4179122005209893	0.847544007650074	0.18077547108848036	0.12976000365537893	0.4466068631321026	0.0	0.6944283491514881	0.5429518877440839	0.40480147696389546	0.6779527145701756	0.41486366604581587	0.6207563296812872	0.04094767437360586	0.8219462432845217	0.36182970211177123	0.23434008709523005	0.7948367347349271	0.4108260818605172	0.4437321980467441	0.829729812586947	0.8191912102711111	0.5310004894945622	0.5800907609301873	0.4534440047686752	0.36947600593264684	0.12087621014879629	0.5252983480496852	0.4498660182477223	0.48129614966210904	0.454959585028733	0.5371565579203261	0.7467436685115862	0.10193286718906867	0.4763543296198242	0.028628134767932578	0.8327702221013454	0.5911022749944649	0.2087095506679883	0.5640041960717221	0.6450343027738967	0.7392792222696735	0.3812068670178772	0.41673184428666193	0.17638709567464977	0.7250670872151349
G1(-/-)	0.014341074213664587	0.8331506332650559	0.778531447960298	0.10278891698799161	0.3429184317672868	0.45666021695358294	0.7017830494184499	0.4572894995578149	0.88463653910802	0.6585701531693609	0.41155375573819525	0.41091170495195806	0.8245951370147434	0.3782381293234324	0.43534813120068816	0.08689821997633895	0.8350514785178483	0.434884560747205	0.8086928786923482	0.6075398302138474	0.613161804861304	0.09707796769509626	0.10556816459499833	0.4878283206591446	0.0	0.49175245814895974	0.6986949086694946	0.3273986408139023	0.5714631251349926	0.8016916169363227	0.4793404973132493	0.4480588216995689	0.15809300800841394	0.0	0.5976426931740444	0.037596288857015325	0.06193019952057013	0.6269551330025288	0.8039346584552147	0.810110099532871	0.2514332369149186	0.6364283371004684	0.831429535051088	0.22969501677721574	0.7310020761737208	0.7782973252013831	0.06750680703233623	0.5647219757332722	0.5928996417588881	0.7457519120700024	0.8376798192711365	0.2672743440060261	0.8994442817892302	0.7942620061793912	0.8548327873933451	0.5265069318238748	0.9173919352697423	0.2189074727629768	0.11783683198142014	0.480403719675603	0.04482792401690564	0.7292789678596325	0.5789893296321362	0.47735133131826757	0.7216086155492119	0.4393715297269066	0.6273199228032187	0.05708031918271767	0.7639714011442534	0.29782204394464784	0.21042975109798434	0.7850290093313865	0.4626628360419588	0.4874719734659044	0.828572219046101	0.7548973305226745	0.5668889690153904	0.5082676209194905	0.3313555636725032	0.4524547411345167	0.17923669511886742	0.42668700792170217	0.38757628084060547	0.5310530983481623	0.4771167737174693	0.49325632710755724	0.7023140429063998	0.09916617414074097	0.517449082418362	0.056197849770074526	0.7944931403118167	0.5572729151971165	0.1856297641553191	0.5739248082224867	0.7029815309272388	0.756927082065736	0.34127475226502385	0.431213763205707	0.12822068462402064	0.76478770290605
G2(-/-)	0.4007925963288156	0.0	0.8703972919526621	0.199039796195684	0.38046651826458433	0.05781432477529329	0.5507955783035452	0.4182432325917512	0.833058063379666	0.5518876815855571	0.44963700579536087	0.4408621529856102	0.7487732041226841	0.37644163167748856	0.45527863256695444	0.07491149955275345	0.8505377121327382	0.3707244189125604	0.8832370497626564	0.5136919409664901	0.6729960797552267	0.0	0.07573248830203846	0.5079707942601567	0.04663814805239998	0.5669682744160913	0.7350123646326246	0.39552615848675426	0.5449258503522947	0.79760210309557	0.54301559482318	0.3936434225762629	0.1531222662174358	0.0	0.6259157911479878	0.0018268827988585047	0.018880038525591687	0.5921502483143186	0.7315941445265647	0.86375033084046	0.25294410655852045	0.6793004974522429	0.8251179165674085	0.23050927873645857	0.7635930081453054	0.8182846060490244	0.07092858790063439	0.5896514739444522	0.6351753988974567	0.8048035277538963	0.7655906167815699	0.13707892181350653	0.7357088280883041	0.8655177989043276	0.8373458165063083	0.3532050417643356	0.8864284807102468	0.23779771967320718	0.13314128782075352	0.45514840784834887	0.048619753687731894	0.6509317785614215	0.5709743763055801	0.48499205261183614	0.720401922244251	0.46431814821975026	0.5726641716483579	0.005242072443119393	0.8242033158559193	0.26946881242632215	0.3315056128628586	0.748484412134601	0.46204892191049374	0.39374658824329034	0.7714492710281542	0.7192525503067265	0.48200958187854837	0.5907279017967983	0.39199814413715833	0.42498360227931936	0.1572791740750349	0.48207624019783657	0.45775041416655105	0.5227371361067364	0.3872782794375048	0.5415569093014745	0.6986805648528046	0.04385976967136405	0.4490273773788008	0.01991142060727795	0.8064832230347828	0.5488315065593327	0.0887973445049806	0.5893416866637883	0.6712177381139983	0.7464829437482977	0.2840761088368901	0.4390486830411833	0.11747298799649497	0.7713426817374534
G3(-/-)	0.3854401086840568	0.036491785946987036	0.0	0.2198034521998376	0.2933421617101235	0.11704011597954314	0.48800380536693705	0.39099756707323075	0.8400523539479642	0.5981290079923902	0.4316005613496361	0.36505704973150244	0.789586134520908	0.3342012602924187	0.42620740237790333	0.04838527569654424	0.8787774848585969	0.43627797083004394	0.8208642953220027	0.612935441904599	0.7443625023397339	0.03751963950668512	0.12560978548942772	0.5046124219673942	0.011746537401654563	0.5843132743977555	0.6350535933450059	0.34228512516040355	0.4656171563560637	0.8332330294915176	0.4745452438820576	0.37447352704423925	0.11569774942768296	0.048132847403199834	0.5850369457180146	0.0684236954736205	0.11146607655997089	0.594480173460336	0.796740063705781	0.8518889989485761	0.2554208650932868	0.6191717918029231	0.8825514592702883	0.2365247916180033	0.7530763257938212	0.7195944850480918	0.08273932869636647	0.49558066942983386	0.6773224526850031	0.7330137396058505	0.7568132938931236	0.11945181903206904	0.8124335209746034	0.7615180485620437	0.8314524536823154	0.45815018936586327	0.7850705050065001	0.19024872270507923	0.057026832176878955	0.5264024831205121	0.0	0.7405959530010352	0.5093991458462269	0.46495932007939916	0.7196288789304073	0.5185749465520436	0.6557002277443836	0.003481956890832619	0.8727360467878752	0.34897117302076436	0.2364181099988828	0.802768085141235	0.3669089213488146	0.3818928726766564	0.8380341975948207	0.7525672177811585	0.4811134050288176	0.5310705313621616	0.3232235553463758	0.4359487798227918	0.16478314676866554	0.5177455509803524	0.3633033479748913	0.42905336518797355	0.4377321214868801	0.5013656920347097	0.7050588086414842	0.030521838454964943	0.4699905083987323	0.0	0.816586245464542	0.5323480237225829	0.16737023581995605	0.567223499374911	0.6274951586472625	0.6591027677053187	0.325657857055563	0.46476282821666187	0.15569539421850845	0.8696494785907436
G4(-/-)	0.004898609104195673	0.8528992023608701	0.8402895935945751	0.0	0.2572340614165872	0.8298673968489813	0.8211991461637456	0.4130644242978342	0.8191533902783512	0.8635806898667272	0.43551411854511024	0.35168963595515373	0.8513694611584343	0.3519919429464234	0.3890251879944994	0.09795308139848524	0.8960572330750107	0.423225954179293	0.8174640938766617	0.5121578897717511	0.7420918145119361	0.07011383356766351	0.0328654747278677	0.548242532408774	0.022223128696838276	0.480055008783401	0.6260506426272365	0.3527786696743999	0.5900276830893004	0.7839765995595466	0.5164034846932021	0.4589536733114832	0.058503843671579625	0.00856195514991549	0.5388294869828893	0.041236280472517144	0.07072330623900715	0.6508823368851598	0.7894675391356347	0.7935307298482528	0.20918557692167453	0.5755137019527335	0.8127713580922412	0.2620108797332749	0.793691833261439	0.8004619876675748	0.2650768520096052	0.4259776916781608	0.6706277309231243	0.7141390139723747	0.7892842418480511	0.20782812999927838	0.7927374195427134	0.90585023656992	0.8419774373979768	0.3335023103837977	0.8187567362247526	0.14593899156718887	0.15587082458922322	0.4714218348107402	9.511504452910183E-4	0.6558346832597269	0.442406447264614	0.39909211474216644	0.7936684852738047	0.4467597244608036	0.6405042710041513	0.0	0.8569398294765989	0.3470809187216268	0.21225489486197302	0.8194753399146523	0.4953432491689514	0.469204157436863	0.8258200075026852	0.6772361187361572	0.5509606154624852	0.5479871791902386	0.3397652387514362	0.41397478940780535	0.09947695354125054	0.45308280272325635	0.32263619192735365	0.3884180913455108	0.41805114921793063	0.5430022827553248	0.7640759831762509	0.1302727445038959	0.4696630493251459	0.015326624229979708	0.8456840730026903	0.5435743936279881	0.15304554783104748	0.6217013484373947	0.6588307073573799	0.7236385988462244	0.29601654843387226	0.40636381790156606	0.12762168115446126	0.7664042908302573
G5(-/-)	0.01930257151863357	0.760878971806771	0.7875229747749368	0.2248336449508937	0.0	0.041143658887935884	0.5268940061594963	0.4025596067571329	0.8620239427568472	0.5339748273228281	0.4139390516348508	0.3035522739842127	0.7733479256296103	0.2973489356360057	0.45555234485842905	0.09605660456185344	0.7936088537235586	0.379193920685037	0.8485738970623761	0.614639073164285	0.6412290663038006	0.006855107900223444	0.07533654328824911	0.5280468311305466	0.12299050884367234	0.47593742792601473	0.7166407517328425	0.3737211948774629	0.5469688114343965	0.7681157771481902	0.4958346007381852	0.3869271378080863	0.125124951185099	0.03783830811805177	0.6402992380701761	0.0	0.05239850038682258	0.6336395170462809	0.8414749177756061	0.8071830211210091	0.2158417172707545	0.5915945521878093	0.9212712040869718	0.26008428078425816	0.7596953663089477	0.6920929841456666	0.08828893462836587	0.4042842279114846	0.6876284684394095	0.7028105173072601	0.785612546126519	0.2408210953734494	0.7877879138224237	0.788468324264669	0.8179802517025194	0.4064584150905634	0.8728871531617372	0.15102256125938152	0.17690978161371798	0.5591580717629084	0.006070075934737443	0.6669608132485279	0.4962138971303412	0.3254107368710643	0.7588472485132028	0.4532501335513462	0.6822740596040696	0.03320091216774933	0.826573411070271	0.34682597536980414	0.2846580298942989	0.7963332168226983	0.43695320126864284	0.43847319224201164	0.9072448775322146	0.7076618223021772	0.5282026430236781	0.580274767660312	0.35808557701653304	0.39051490714264514	0.1075940744991615	0.4218063576055503	0.5291824636400764	0.46269777160527714	0.44014992400434355	0.6270728370192539	0.7678913439232656	0.1420103736011374	0.49547370738028873	0.07723628063153631	0.8697203072698512	0.5477854716017183	0.18872333663464536	0.5972125276298172	0.6685237140286766	0.6974594131637473	0.2784125517438182	0.4300716047616899	0.13770053821453085	0.8313020369147388
G6(-/-)	0.045698427805376536	0.8309873286012093	0.8320374727704147	0.14790772060274612	0.40294521318910625	0.0	0.6137369416682718	0.36341029568014993	0.767422335275403	0.6587612702236517	0.3891439184352179	0.3854779994680511	0.7949702548601686	0.2654862677277858	0.3894108042306112	0.060093229800142596	0.8353119352642207	0.5335125402149057	0.9009970450717838	0.5150740239940643	0.6735966650381736	0.0	0.0	0.5510047882743754	0.0	0.6629944752733685	0.638483734569439	0.37374667335920275	0.6039494152123079	0.7828717369622347	0.5349764249271742	0.4647416706144415	0.07392799434505813	0.0	0.6867299989818638	0.04513506041927104	0.04332483741167695	0.6381290343554282	0.7886371060073402	0.8421818974027241	0.26048518970934387	0.5931112395824919	0.8213727746903141	0.22924724935693236	0.7553058221330748	0.770439839054641	0.14919994035090992	0.448394667333698	0.7127068068330701	0.6725728086284182	0.7956058556955622	0.2367204320224109	0.808360421745684	0.8809399487187546	0.8384891609575811	0.3953566664418132	0.8706924446620711	0.06492948555370667	0.04122339566841462	0.46201401605505377	0.017412393897677934	0.7169730959841247	0.5404078054988348	0.4514668583632671	0.7530686681991999	0.4447971562809829	0.5872774440022411	0.0	0.8481593325525487	0.42361238433808823	0.2880811405360852	0.876954230116856	0.3834467020279208	0.4959148071564701	0.8700928758407019	0.8135704664623779	0.5173517356404926	0.5318098627136445	0.3188821934846118	0.4754256221343459	0.15092712351363424	0.4438851935878079	0.40330996554220777	0.42543068106593623	0.47306092922846943	0.500138073151817	0.7400334470975074	0.02510251345181336	0.4598970131636435	0.05541806320510051	0.867550508026689	0.46865114869051316	0.10444586865192698	0.519553639520242	0.6703233720276592	0.6798484893143713	0.3224337914203884	0.47634248180814076	0.1110775573199782	0.8376980285807649
G7(-/-)	0.01117805747375961	0.7668667082677213	0.84459989060863	0.15162899945779995	0.2931646538447454	0.14094712939493118	0.07992142605137427	0.4217620792177908	0.9003268301878853	0.6438775076768115	0.3891962620501289	0.3802509899416741	0.8298389382028731	0.44423638562258055	0.4412817393264352	0.16687228447025748	0.7407215369979687	0.5316199380008513	0.871823387163023	0.5724748886458785	0.6282781695183067	0.09153789356374199	0.09740268906825224	0.564758569458375	0.05316499015631685	0.5300663006575531	0.6847800430494211	0.36387775448864945	0.5243266023033841	0.8381111075262897	0.5049196804517162	0.4562423345984804	0.07348284819673138	0.04657743462877008	0.600966947733364	0.0	0.07681731599228243	0.5841845553555465	0.8536484901371671	0.7889532971883927	0.16746967953428032	0.5900411201241832	0.7771802053951965	0.3120936875943016	0.7317938800783805	0.8089402266333642	0.14426328778066666	0.5561069271031253	0.6413935583396813	0.7440307935186724	0.810012518416542	0.21077747842207525	0.8289712804108822	0.8163565422882028	0.8349751204087191	0.44787773476962345	0.7987244854026679	0.13321206190203777	0.08405547225311977	0.5025677028636036	0.0395270315852953	0.7176372115923129	0.5033576884573173	0.46213296111857494	0.7961157404060024	0.45605143999607584	0.6260164806575953	0.0	0.799142308310034	0.3483932802099892	0.311501829695865	0.8091502377577344	0.4389552770692912	0.4616393738218357	0.8322786844645171	0.7117769908795111	0.5685951693769056	0.516152975085288	0.30205754622314335	0.37157059106447976	0.0899632966332135	0.46401953965370707	0.3881595323566604	0.4441710900411532	0.4568879406943588	0.4640394954440057	0.7402998982654996	0.10563452657868364	0.4628588292085896	0.06331551991680968	0.8458146287497672	0.5631060612356986	0.0881840188883949	0.6709965263870714	0.6637677951482375	0.7770272779631086	0.3203464825675365	0.3831352575684821	0.09531640029059042	0.8248202625295736
G8(-/-)	0.032860245743790935	0.8072338661924797	0.8026026888104845	0.05195083891297022	0.3080089520413551	0.5132437629632745	0.6951672514056205	0.0409678302386399	0.8775760004548512	0.7307757752259931	0.32216472823629344	0.45719521658685686	0.7354494959894046	0.40516620426899724	0.4317623462182562	0.1723599676304321	0.8101437710963704	0.3700482285254705	0.7813503179748011	0.5544908594770649	0.689261407602893	0.04293531054346194	0.02677241609520248	0.5559675310305794	0.07461493847300182	0.4663135366670213	0.6550702445806158	0.34522776629351254	0.4760877080799565	0.8416888498055891	0.5242865636105668	0.4202099528073126	0.14507869354625758	0.0	0.601552324801446	0.033781568915036475	0.0	0.5720296916638594	0.8019449645579887	0.8068527669839157	0.22841592966107993	0.6893485706679165	0.7935238826431078	0.23657123144001718	0.6887329595185308	0.6853099952665247	0.08350457313059047	0.5273272679831987	0.7378279351921381	0.6863655367793361	0.804926142412617	0.2836785915733816	0.804678625956245	0.8576277443595192	0.8193217767582069	0.4023015306096036	0.7899988313356738	0.19412467313057963	0.07875280526689378	0.47106626677649865	0.020006840538154123	0.7539419309744331	0.5958481324397741	0.4686344430195032	0.8039476306225676	0.48179652383971905	0.6726372832662715	0.0	0.8153962532547261	0.36495899772280005	0.2524101381559283	0.7498716979193131	0.49987634411426596	0.4407681109629773	0.8481842455783799	0.7169985508772192	0.45212169551329456	0.5281467250817955	0.34056668946113544	0.4660151417903596	0.1295205030350971	0.5473760377420143	0.4416126769649308	0.4809965881274748	0.42634709630426193	0.5001853244129407	0.6860285641314193	0.1309789637529372	0.5236511838581556	0.013405283256364357	0.8039056632894114	0.5539605696269547	0.24774630409738083	0.7088195883806236	0.6414558869472327	0.7569380071329751	0.2913196566834432	0.4421539972985826	0.09310434075316908	0.8357780059703974
G9(-/-)	0.023608860001995136	0.835813046691083	0.8091302543801802	0.35232598419661465	0.3997956091620416	0.0	0.48531794179889465	0.8218177850879356	0.017120533526179333	0.5743212536004652	0.8321737674948364	0.3843005546762574	0.8028573958924642	0.31763923944505723	0.39865380119368415	0.06142006434748814	0.7987726514977489	0.40598925058582963	0.8890892847495517	0.5759417237994213	0.6300181892468368	0.03412018119044075	0.07460356964413542	0.5123960505591222	0.1363939475068799	0.5698806119419313	0.6985446424751535	0.3732632001607447	0.5804740471105068	0.8443403839615515	0.5026646343146312	0.46160462570694644	0.10763783777677856	0.0	0.6361238464278999	0.07845683480093996	0.0	0.6289081007225136	0.8123564149964851	0.8229207841256274	0.2221153954589284	0.5838108898430877	0.81362448715126	0.17973693543270342	0.7284536094931723	0.7810678303539337	0.049269038614825664	0.5235388991679236	0.7300467299114987	0.7179968109715025	0.8126807802417494	0.16923589995116478	0.8693241356371957	0.8276918747507627	0.8305817276804314	0.354589614384693	0.881182936602119	0.16517025650835418	0.06253997823432794	0.41715070146557287	0.0	0.7083514255311031	0.4670387839410191	0.4464630937523332	0.7888230060073184	0.5066298021116132	0.6618116766428539	0.0	0.7440445088092821	0.33041510252220396	0.26909798971190774	0.820365401831195	0.3934718283790932	0.46592189418410407	0.8757995154146195	0.7313158785884123	0.4883108452983148	0.5481845439289548	0.3981032500186723	0.5079382465808352	0.07247297537828834	0.5104912279620625	0.416622955243655	0.41984679437663547	0.36056224651500335	0.525232660450324	0.8351051901931291	0.1270085663270848	0.4506278310481431	0.028431238982959878	0.8859635011346316	0.48367702058114787	0.12459741773012842	0.556516293128604	0.6681166440429115	0.7172880184795325	0.31793217257697504	0.45414663073484335	0.059862510779596576	0.8365432511394792
