"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"
"wt"	0.7308684333327136	0.7893794374301661	0.8266780292158861	0.8000263821932757	0.8277342135849304	0.3108202626664462	0.6226941221473891	0.4149478019741462	0.387990196624487	0.47583821667453785	0.43746834686975433	0.05033289687345677	0.0947108237301264	0.413459829927632	0.6422886302020684	0.169239294999354	0.7935189774434325	0.7971271077661805	0.7995767002981095	0.05668762699788739	0.7137586717965947	0.03735392781824666	0.7837631835487252	0.8289239884092415	0.41783079327157924	0.4153530495126086	0.7126898682483547	0.7722369633013784	0.5629053849525012	0.7849826872465517	0.7302874161834542	0.663548084435922	0.6522644888574188	0.4623593381077256	0.12004728653307634	0.4275270610753755	0.3194238689455093	0.5306649846283702	0.37437979357433643	0.40749303390043123	0.20575851425847752	0.4367206023910069	0.3908743389051348	0.4411026948903628	0.8112649093601341	0.05298346298330473	0.41925568049147344	0.420814650725661	0.4027821757880383	0.8059457513550391
"G1(+/-)"	0.3953884955654563	0.8105455182845024	0.7482328084583524	0.7756769336703389	0.8135509072993706	0.41518383194115877	0.6879428603389018	0.4166914997265524	0.4162484307837991	0.39223249428257556	0.43779476932392464	0.06915862800525112	0.1366861610616281	0.45800890366539154	0.6777186170032261	0.12933704520864792	0.7613809329940059	0.7482982012520147	0.7904875077450201	0.0	0.8364232643884291	0.0	0.8674050653815594	0.782266669425734	0.40549512447760266	0.4294009467457684	0.6655352439674981	0.8019509246131795	0.5896348688142985	0.7936173882141542	0.7897180295666348	0.7533079446433206	0.7090038257483857	0.5195009410370214	0.1633050537053268	0.36718437054277014	0.1745384413933015	0.48141438169389744	0.3536774885583106	0.437137565414154	0.16894580355899957	0.5218040858075721	0.3473740035722009	0.4303266948489567	0.8189927331555585	0.0	0.4714560876214204	0.40214597346145314	0.3788610212878826	0.7479380426712389
"G2(+/-)"	0.7864688957808423	0.3897211628787068	0.820952487976379	0.7899117365997653	0.8295386794838534	0.35556747417179574	0.7049505517540745	0.3941242670262147	0.38830745637575215	0.38955830040405526	0.46569713381559497	0.08368696685459062	0.13049976384926087	0.3406109093381073	0.6694098046292933	0.0977053762067688	0.8316418305978365	0.8463970033912197	0.7678742881925218	0.0360624517003471	0.7824433501264212	0.04904383351869348	0.7943575880804233	0.777084560662138	0.44138601969536967	0.39658796023741216	0.6300530126787314	0.8149895018624238	0.5983282659691243	0.7514261490044123	0.764248170931801	0.6669214921837012	0.6424646563632537	0.5280655743215874	0.12525970696733071	0.3936362305938605	0.2617172678067992	0.4487906433992643	0.3262885380188487	0.4222980966922738	0.28783739014929616	0.4635418591609722	0.37268192422286006	0.43091359196464907	0.7066026967880012	0.0	0.42211443060127934	0.41543250545195853	0.4235925630061682	0.8233966118897245
"G3(+/-)"	0.7604716096642731	0.805019580079181	0.3384360487765468	0.7977692342631709	0.7245598523246799	0.4549218631674302	0.594683050128339	0.39037074122693294	0.43257915290572385	0.4683068680789643	0.44767024703832153	0.04859116554232739	0.07575710568292865	0.4128095163806722	0.5632922831602061	0.13273474044840766	0.7914020879911015	0.8856517805684624	0.7633068621449919	0.05188088151502978	0.7402849335362971	0.07001521373249424	0.841003822537291	0.8247773405706132	0.5028648534764537	0.34960840441113494	0.7876518618679692	0.7936426648963856	0.5786173999303242	0.7727266698803329	0.7217711887645301	0.6839670256507656	0.6933934946203661	0.4564607848576378	0.09279505111575095	0.4362362403609807	0.26759185291681387	0.47431043077599844	0.41549818848231773	0.36351467751294325	0.16646115963621216	0.46256011270343234	0.3545868442174683	0.40557685511104113	0.7575800646164602	0.017894004196013807	0.40690700823161774	0.4329141437884645	0.354449101835906	0.8130639500726317
"G4(+/-)"	0.8153825841705334	0.7901263062480982	0.7228830295415909	0.4990829129138269	0.7662486650968319	0.3724052311568055	0.5825407929761865	0.5008194341811809	0.34020875362940334	0.3235901033817843	0.46435819821849644	0.09317773744157314	0.1757513112119941	0.41193076437017634	0.5837512562590774	0.12534711903516044	0.8293515412800984	0.8106891224730255	0.8417214464550903	0.12954264979705593	0.7421162001222462	0.04550410660057892	0.7576862725049907	0.7696853421134605	0.43389150191247955	0.36680906092502735	0.736415191344825	0.8295029533542666	0.5499716543328487	0.7441217646619469	0.7834662387431609	0.688905746129215	0.7217197410739181	0.45088081314533973	0.0970796097795654	0.42247763685980744	0.21670101986564386	0.497591366276706	0.3847911718484924	0.42361541710345263	0.18459323424494078	0.5083278417743182	0.3293831465531824	0.40128990470895626	0.7690107214033367	0.028099786905888532	0.39991917296964663	0.3501448498368626	0.32988709165603114	0.7634233987788064
"G5(+/-)"	0.7891976088659626	0.7756753917389596	0.8482675825496907	0.7207140844865918	0.3355668023514587	0.45078022651103183	0.6271319455166661	0.41886665586448046	0.47031211614699087	0.42031838221432727	0.5024859728721265	0.08469183338724988	0.14616668377847916	0.42077528639303746	0.6144955985855705	0.19834199287317267	0.7763771464966918	0.7191031837770485	0.7859174633914896	0.05794397347331967	0.7611742222889132	0.027469969906459477	0.7453380720418666	0.7818633616092273	0.4102889134808351	0.4519048675977302	0.7173416659678042	0.7720955784409715	0.5498225287516371	0.8097987436865322	0.8313151413187241	0.7493676480751874	0.7713042512546975	0.5495782608486857	0.0	0.39894465351978725	0.3061922338326227	0.48872484449680365	0.40799843460071733	0.43634928995585837	0.23249296142137646	0.51761863764505	0.38767849942568483	0.37825863848573843	0.8556279520045788	0.0019560982611472977	0.471048865772198	0.39363916489951467	0.3897495629779058	0.766528710389389
"G6(+/-)"	0.7110309224694206	0.7893428843068309	0.8460010271638512	0.7952378928849324	0.8054041004327257	0.15519393117277058	0.6924622180429236	0.46293885531913825	0.39109495472320427	0.42669081353209026	0.4016013929701591	0.08287319067325338	0.14251272674357227	0.49000652972646846	0.7016379993989978	0.14233235016987425	0.7962581096838015	0.7342185684435188	0.801446727402032	0.010151648760993712	0.7978181923876801	0.06128974103867025	0.7414580568829308	0.7788648133701656	0.4515402502691867	0.4020629003308342	0.6801998527830309	0.8372889611341129	0.532246700242123	0.7891490033049959	0.8231014611667457	0.7315637299433249	0.7107724425890336	0.43722932686470295	0.16456587582961485	0.3896315773573819	0.29998774519760124	0.4377393178721665	0.4636002072967427	0.4509460863587561	0.14372624937556558	0.5122975586053357	0.3491551503687366	0.3930661548873036	0.7275891243121736	0.08147060308115686	0.42746140982384295	0.4524538921967283	0.38557532348399504	0.8179237673410796
"G7(+/-)"	0.8011240999352656	0.8023995198425481	0.844699647426451	0.8570935064335061	0.7840986602336357	0.38463352903172643	0.37600720384331376	0.4448786179807591	0.42153512144028327	0.36870985354580604	0.38220060402255307	0.0	0.08911828197999709	0.41002453042804093	0.5517328705179686	0.1161904400227686	0.7534114099868153	0.8302226803913082	0.7838253759305024	0.027608272787294538	0.8620576395120255	0.0	0.8650172178704567	0.8071447252449435	0.4202547179968653	0.432184906887003	0.6849093350138714	0.8485391605119272	0.5459433802367626	0.8249399793109511	0.7894699037664085	0.6948331569433611	0.7190768962265691	0.4836869186569205	0.20483653702540297	0.4722190876306211	0.27622263811118647	0.501484796597976	0.38734144813552623	0.43226811471976584	0.1832098409123593	0.46313400060338505	0.4025140745013984	0.3987601351139818	0.8120625391825027	0.0	0.376557979707941	0.3650566380508753	0.43197121470035327	0.8099134404706784
"G8(+/-)"	0.7581231307509182	0.8111972054907014	0.7199805832117177	0.8036640369070428	0.8288217180944011	0.3863205106948766	0.6777751577435903	0.22184168981714616	0.4132087232942125	0.37890143192548914	0.402056621227607	0.08716892424934668	0.13219164406411324	0.3777673564406271	0.6700234732239897	0.05889208481478835	0.7538163937004676	0.7194170560832198	0.8008326542682377	0.0	0.7585119327157854	0.03470545921716705	0.800441544357903	0.7824598716190433	0.4042843480127844	0.3716391558832724	0.7367150583782764	0.8330352289275739	0.5893602751953416	0.8006045148973657	0.8064197304835571	0.6939245658123383	0.7675785633100387	0.5273146373958374	0.12101300044539418	0.3460421000345524	0.2709727425739265	0.4681670807884649	0.3744964690599314	0.33060198701553595	0.125485701940397	0.47927194070680257	0.402949632194943	0.38015213458811026	0.7764452939256113	0.0	0.3875057914627607	0.41113961453406705	0.4055901488468642	0.8047825545801834
"G9(+/-)"	0.8498723916318085	0.7241140600882483	0.7619663543023871	0.7851573064079708	0.8011494679055137	0.3453603293361569	0.6110686623440789	0.4098937779716301	0.2323913359029155	0.37447696326290725	0.4197112926606551	0.1283397191350713	0.11046906757847885	0.5076915002253279	0.7029134136817511	0.15260312499383472	0.7770599318319567	0.8032893719921393	0.7769696315274878	0.0	0.8229265905304426	0.045140054924013344	0.8427138714279305	0.7863472452121071	0.38319467561321946	0.3284195329038004	0.6811688224719187	0.8366329253855643	0.6592208642582187	0.7820186666814167	0.8267572345875732	0.7829578465717211	0.6943883965889122	0.5506592442133573	0.10403982020217137	0.3233561876293596	0.3201158018208438	0.47427277601856266	0.38390702214073125	0.45882209824080816	0.1913088169969971	0.463393832445714	0.4372442676929508	0.433879319132927	0.7786118975927345	0.02407522797522509	0.3986788959512029	0.4587729895518714	0.3765224436524794	0.7864993916531732
