"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"
"wt"	0.7308684333327136	0.7893794374301661	0.8266780292158861	0.8000263821932757	0.8277342135849304	0.3108202626664462	0.6226941221473891	0.4149478019741462	0.387990196624487	0.47583821667453785	0.43746834686975433	0.05033289687345677	0.0947108237301264	0.413459829927632	0.6422886302020684	0.169239294999354	0.7935189774434325	0.7971271077661805	0.7995767002981095	0.05668762699788739	0.7137586717965947	0.03735392781824666	0.7837631835487252	0.8289239884092415	0.41783079327157924	0.4153530495126086	0.7126898682483547	0.7722369633013784	0.5629053849525012	0.7849826872465517	0.7302874161834542	0.663548084435922	0.6522644888574188	0.4623593381077256	0.12004728653307634	0.4275270610753755	0.3194238689455093	0.5306649846283702	0.37437979357433643	0.40749303390043123	0.20575851425847752	0.4367206023910069	0.3908743389051348	0.4411026948903628	0.8112649093601341	0.05298346298330473	0.41925568049147344	0.420814650725661	0.4027821757880383	0.8059457513550391
"G1(-/-)"	0.00958931664363209	0.4670527503749714	0.8000936869752646	0.8136897797514062	0.8113236395116752	0.3314511422993984	0.6540335240507722	0.390380999003763	0.41829068069126774	0.36471547622217876	0.42844911699774196	0.026561359441490948	0.12202317158017655	0.3761587925516873	0.5656363999144829	0.13179582960301808	0.8174145301714176	0.8007105828525628	0.7504696672969466	0.0	0.815353624775837	0.007033265454845713	0.789815020938099	0.8164496364821395	0.5144973069541912	0.38000389184028555	0.6901391058626849	0.7845743646373902	0.5987819029620406	0.785549665640295	0.7569480048446607	0.6465710011247664	0.7154044626523778	0.47707218478415486	0.11289164061449583	0.40552621546217227	0.23723591406005456	0.4485455633641844	0.3931080680325383	0.4553154851073069	0.14454901717251445	0.4391957851814782	0.36404675750419785	0.4473839785469906	0.7043854025004017	0.023906465433344112	0.35026984691907465	0.39977407306553764	0.43554466580050305	0.8269278464128395
"G2(-/-)"	0.7953796227569526	0.028357631849856152	0.826027667504454	0.7538871055207321	0.8121882063632408	0.4068084528763427	0.6542087075572434	0.3837684101708503	0.4268792240698863	0.3434449464982515	0.4405025333787274	0.09128747341156924	0.08240361295831751	0.42341019034867683	0.6526707063577208	0.15507811229622698	0.766314898306969	0.8436849203799838	0.8056313599255168	0.01076778248991529	0.9021215238669622	0.04116918514516159	0.7710750574050609	0.7891136537400435	0.4275642275058381	0.38842152146142056	0.5940112174685898	0.775225340392523	0.5774433594081602	0.8122190095051185	0.8636327397379745	0.7063196844364135	0.6527779951558607	0.5503517916817305	0.1328524503769372	0.3742059400909199	0.27834948649469277	0.4469901409697739	0.4307617942491986	0.4974557628187124	0.17857540513790401	0.4827428273978238	0.3611085927846571	0.4205830926737437	0.7534724991399103	0.0	0.3715829315299679	0.4136851058300161	0.4348812896644725	0.7978559298258507
"G3(-/-)"	0.871243193897444	0.39906838032035297	0.0	0.792290613048387	0.861844318356766	0.31030509746403256	0.7471456089532028	0.3824863172546174	0.4578756712183026	0.3761513525793798	0.46944763088846464	0.05355114505306492	0.18495335291309034	0.3747219305252714	0.6977589791073101	0.10063520105139773	0.7988541703985967	0.8168662835794824	0.8049043702541115	0.0	0.7982388266824361	0.024092520293103877	0.7166984900540763	0.7444999976097753	0.5093911196624766	0.41097912636832357	0.7804921377023987	0.7691968418949141	0.58952426865855	0.7485666649666473	0.702678110863331	0.6969601072813987	0.7001417096484486	0.4825901822309188	0.12822309142990387	0.4201338663220284	0.21751430962869295	0.5477087918359895	0.42112818562437043	0.49631226825505254	0.1217313496936431	0.43647226918051674	0.28142042788260746	0.4075663613640283	0.8089355149524053	0.013010222215056278	0.4011093253209964	0.4610233070420893	0.37275455164357313	0.8643117852522871
"G4(-/-)"	0.7338125503173346	0.43550990547755963	0.8464395811864182	0.013453101340770093	0.09049804886446457	0.025871698665364606	0.03777634793266426	0.08189549048074846	0.07847886948706398	0.023218637564549227	0.07376953003328626	0.8200774186790175	0.7809902169414282	0.04464356547012071	0.013871953173675004	0.2013172493265245	0.844428191061593	0.880887497043378	0.7952416117303518	0.01134351986398528	0.7503241415499085	0.0	0.806270598331019	0.7832995550628576	0.4838836196128166	0.4383527642061654	0.7531688555843148	0.7803937610342727	0.6421121985295196	0.7475520804955186	0.7927826924201425	0.7033398183011222	0.653591265609966	0.47334251462885046	0.08774543256908324	0.3877159631268366	0.289368919683444	0.4652377149191258	0.4127121082854993	0.40115348546527907	0.18426519333830788	0.4922023413921897	0.40754087922782256	0.5126951680389443	0.7995408802348203	0.0	0.30514536378046814	0.3632919979761581	0.41826495701488786	0.73072999704954
"G5(-/-)"	0.8004763963025706	0.7613759947615092	0.801494409258662	0.8595146584413902	0.024259693144733294	0.40851359035390256	0.705566084943526	0.35831190806767793	0.44794426557235345	0.37070645725379414	0.4843279670967288	0.07678706971538277	0.16631697212867236	0.4606247171790126	0.6644937872185404	0.12244725650063648	0.7586695663776231	0.7802277037355843	0.8493048025070954	0.010325523237681305	0.8300406163005335	0.019565290428446982	0.8364057494089814	0.7636958924727147	0.41794108295431354	0.4379755500568984	0.7257691375024862	0.7936211203579331	0.6005931510278065	0.8037071430277648	0.755651366980011	0.7448559677295725	0.6582793509426502	0.4904034210147104	0.1592145046391992	0.37721838944780867	0.22213870742582315	0.526156250169344	0.4338121967948428	0.3313118650278433	0.2055698304397243	0.5722014341596241	0.4138373496637246	0.42578032913957875	0.774784114036025	0.0	0.37453211161820754	0.430517903636457	0.3948928642072487	0.747034384755636
"G6(-/-)"	0.8471741150749411	0.7687851428435173	0.7847745316063389	0.8672809822166745	0.7808130509929067	0.0	0.6501766334029518	0.39737151131834836	0.4485376200089023	0.39220350497929723	0.4758229020882007	0.16980636827862305	0.14887713193203528	0.4119649783355206	0.6187848986259733	0.13059383625298798	0.7962637725746454	0.8964059723058894	0.7248069598107784	0.0	0.8199259482771374	0.0	0.8389968433853979	0.8034080887005504	0.48384220420481105	0.4788637383041067	0.6475259017139856	0.8576460628525532	0.6107366661963135	0.7725149455367968	0.7730707970861984	0.7240775423757729	0.6246978986820882	0.49879228238384	0.15776491142463842	0.5214216932875086	0.1999480321030494	0.5242050916975628	0.47255803562110765	0.42478681147584685	0.20836886722467676	0.4742168620398819	0.4130869968509716	0.39928074216712445	0.7964243744785788	0.06678288972905255	0.4495188921572447	0.3901060861890344	0.3956197012666255	0.8087364859123253
"G7(-/-)"	0.8407759275584062	0.7897406382247845	0.7263698476512526	0.8086818639251417	0.789859256392792	0.3351987441191149	0.0	0.42728461239372895	0.4175341737028072	0.45929105284119026	0.3694305473483181	0.11013006418840958	0.0570436296129907	0.4237370041348654	0.6088290383055104	0.09006782104071082	0.7728754665134909	0.7364419678291496	0.8667670547526347	0.010964618212558827	0.7538575633019277	0.07979337747953515	0.7737971835932522	0.7606013282589321	0.46722157130390995	0.4417186410665153	0.7265824117358073	0.7667763912045523	0.6119790614821423	0.7697301059620607	0.8242194306054913	0.6755239270780414	0.6986665789942771	0.48300336286600776	0.07497936731214748	0.4174365691562219	0.2581886651919144	0.5684563226523709	0.431009477246503	0.406470948733475	0.13907854080297974	0.4924194945537596	0.3702414725143022	0.45837805170340906	0.7920916634267111	0.0	0.34597160881161887	0.37295443650756527	0.35145708466721426	0.751708153799788
"G8(-/-)"	0.8254745574334762	0.7359278248262181	0.7587671236865791	0.8424736771019832	0.7886351322201618	0.4285027132890115	0.65499502294978	0.0	0.39719249720384475	0.3698366515057291	0.39922425812053414	0.04807286368121372	0.07889275286362167	0.4018666248010565	0.6634248224403058	0.17891304498279442	0.7816886487149749	0.8568519239796353	0.8489684873341595	0.0	0.7881145565134606	7.830961695289394E-4	0.8181528637870962	0.8493197761643706	0.38535696609566855	0.4441051585651203	0.7437755025776565	0.7957628225477659	0.6592508976494409	0.799483503620551	0.8182023988359348	0.7070829675112084	0.7206496964920606	0.47711661320011894	0.1468425663661939	0.35842277376599113	0.3362598912961605	0.4619354114985944	0.43760315282548634	0.38766978599271334	0.17359265412209413	0.5015053498182004	0.41405021689957255	0.35956152892104065	0.7168620584542132	0.04593837231736025	0.4298887365132509	0.38407772529747725	0.3118560357995561	0.807432485818209
"G9(-/-)"	0.8193230915969	0.8076526884508098	0.7898167770562602	0.7553097767652647	0.7709950102638943	0.4421756506621847	0.6432083661185056	0.4207042615309118	0.0	0.31212189181383304	0.4073729525808103	0.035009801693256015	0.07205540610533925	0.4116909947159326	0.625092564533274	0.07602084039464772	0.7946730419941697	0.8613462613856485	0.8237330536028715	0.06570552640039978	0.7811870303453597	0.05491923485753395	0.7986370735815507	0.8369940384451682	0.38078038416144533	0.4367772833438602	0.6768233851395653	0.7959429589654465	0.5895568699189607	0.7798581708481397	0.7414948756775146	0.71068428278541	0.6462136827006666	0.43855605009531173	0.08345465930080723	0.38222238290718086	0.259427417240317	0.5424242174231253	0.4087531496625061	0.47083886665551694	0.20066970635830053	0.5191159933708608	0.3549520150833349	0.39414720941057446	0.7665281925366452	0.046151356248905206	0.40002764422601544	0.35213586370333166	0.42019419657760365	0.860758330424317
