"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"
"wt"	0.8282826971918822	0.39283240756558824	0.45031332939752605	0.037405074775429065	0.8800807775805224	0.125172583593167	0.053306278861703124	0.6655007304720557	0.5398179050064416	0.7480260288950885	0.24784211268293485	0.4270729937911972	0.2771917199816024	0.05181175839260268	0.6133093306379073	0.04509721145367938	0.8428450264134495	0.8838243065731344	0.877992265128632	0.23798081536584748	0.07523343108267277	0.43089753651605434	0.7529831274254689	0.47369949104301223	0.6397077922421004	0.09171745003683202	0.7794112992771918	0.35090236960106325	0.03703283057687424	0.7223047723270742	0.841509522510814	0.7937200765928605	0.38400773041024044	0.32960645842613506	0.5789861109514857	0.07457934372856895	0.10090122163626677	0.766572663062488	0.2720717329258181	0.4095533342937941	0.45453994195156777	0.8301823759321392	0.9133612722373621	0.41045189943400673	0.6021462887600091	0.8426474361495199	0.36293395766356285	0.8432876175796041	0.5338344613533248	0.4181890281460187
"G1(+/-)"	0.45912570197008995	0.43813577469692006	0.3813216894597108	0.05205217386234362	0.9027357176330266	0.1184086228307383	0.0	0.724583930951204	0.5666214285827238	0.7694112936167731	0.2751565443616628	0.3362129257702339	0.211818385180204	0.0	0.7017577336681007	0.05299389457202764	0.8651667586550891	0.818287345898492	0.8694157555378401	0.25636886951654136	0.0	0.4313510030139404	0.7557284044632888	0.39199533199975295	0.7674074146484029	0.1827744302315389	0.7913442144462275	0.38278518490383534	0.08810165399572881	0.8570918784192936	0.8497626026925782	0.7738189104271914	0.4166030191630468	0.33823470640456427	0.6479932511779846	0.0	0.1311146374465093	0.8090495663017854	0.41231786373270946	0.3963573952071047	0.3767862733906377	0.9065080636450549	0.8526642365199858	0.4577043524777017	0.625930947411938	0.8310024143152891	0.4396335249426733	0.9264081805679406	0.5835690772913363	0.44839107713292525
"G2(+/-)"	0.840538077708675	0.216822105868765	0.44671569566293157	0.0464502065618858	0.8440014026036117	0.09516878862467854	0.07829038040567135	0.6486218179019261	0.5265732586993306	0.805367108482484	0.20564112848412647	0.29417915036001824	0.24653211656827115	0.07473078888181384	0.6671558329531534	0.009996064320791512	0.8508281426067962	0.8916366226304032	0.9303172274598771	0.27386424402133114	0.0487965069133199	0.4380415862284112	0.737216416782883	0.5115343204458241	0.7271541612200592	0.13497385192456166	0.9219715651465075	0.3876232453407553	0.0	0.7824209836210104	0.7809102098163244	0.8152380445185031	0.41327985774253195	0.37655190823132806	0.6855206619585861	0.0	0.19347577682707148	0.7927333362314604	0.3909468956292175	0.4393747804381253	0.4462629029387587	0.8827736676068665	0.8898432889895166	0.39200732616920975	0.5301921114220782	0.8051279816981246	0.42239226397400653	0.9000233782354737	0.5625711853256397	0.4097351947830141
"G3(+/-)"	0.8767146532444121	0.46617513933882826	0.29750820136395006	0.004840907604462327	0.8432289819506273	0.17158309310656095	0.09356778681468772	0.7046006412557881	0.49784334236768224	0.8321648652692837	0.3136857315660446	0.2975316474358251	0.31423908841941467	0.031009387943025244	0.6437523317147004	0.022728911828641514	0.8828101148006067	0.8580329101890672	0.8717126552108467	0.18568231106255922	0.12565913009480123	0.45320159762228485	0.6536656762528896	0.5017032333783209	0.7120428099592024	0.08935327543383505	0.8836521006059024	0.40949532795355675	0.07622334436442929	0.8007977274156185	0.8834620787840551	0.7859149732477813	0.4709212216931437	0.27970347400576406	0.6993785840900607	0.0	0.15931513391541777	0.7074008849854652	0.3531165568723348	0.45767088267366574	0.42914162465510486	0.857705087059019	0.8608700653373326	0.3137623908390475	0.543008474285849	0.8788007782156732	0.3963424322358219	0.801189185514243	0.5517949839674907	0.38820970099769125
"G4(+/-)"	0.8706584204355723	0.45399276879736955	0.37852245669718604	0.05872804333019064	0.8916033347085305	0.0758792997821154	0.031135204419969066	0.6653170707294372	0.4994887012255729	0.7325078793270486	0.3105757747676114	0.35503120953982903	0.25558209808697985	0.025909786593923553	0.7147591958391847	0.0	0.8280047168939836	0.8079206194811394	0.8008657603860493	0.20988993663411976	0.03938277309754567	0.48706001144795225	0.7244045432678516	0.5378437300340969	0.7662499885717321	0.139177918617183	0.8308384387500136	0.43636971197980573	0.0	0.822716127733054	0.8254143783604441	0.8322063858121804	0.4274083490893032	0.3813966013179209	0.7175230749714218	0.0	0.11268312013535361	0.8056849540768635	0.3622642671953241	0.3447776254202457	0.4480870847684394	0.7800296874796522	0.952910772763008	0.4057532047230134	0.5284819963863987	0.8088522928335012	0.4380083797025273	0.8348052531301243	0.5817815237987717	0.49263753337021404
"G5(+/-)"	0.8713233062224407	0.41762750822188466	0.3845208087100128	0.08661759703534441	0.35825994050322335	0.04483853679525453	0.04712798591647698	0.568785461237585	0.5621104284301628	0.7937383515987356	0.23235223777314326	0.34843662012448356	0.23000671896296315	0.09865465732830347	0.6420520888039413	0.0465864880014884	0.9101641268456988	0.8195380805230988	0.8373070531066196	0.22447802887811555	0.05251997200977239	0.4417329827934837	0.6684283541487533	0.44742001998968195	0.6630980005624432	0.0931533124269225	0.8383064645582847	0.4186454308732558	0.07470688011318034	0.8333837037986924	0.7959330926595753	0.7786905311617509	0.40953815548012507	0.4041736087163585	0.6353950041506413	0.0	0.1248760156167447	0.7349364874938141	0.42595945471759233	0.32799220477139085	0.4331941996384564	0.8748838248276806	0.8747048446781356	0.3673878768307586	0.5713096255438986	0.7807783144781105	0.4276868215852342	0.8954834837302499	0.599835879162847	0.42750311798743307
"G6(+/-)"	0.8218131628768157	0.540296076219602	0.4416971119929454	0.029889788361034147	0.8568882776762373	0.0	0.08062697200018953	0.695816197718563	0.4883918716037531	0.7539645536278522	0.14006386907521928	0.3467282386175272	0.31616176362480675	0.04883265067949841	0.6482588344701681	0.05238306038701214	0.9148252100317277	0.90927655881708	0.7595813722463312	0.1602808268736441	0.08532916534936939	0.4139350545777123	0.7936903063124366	0.4239725473289245	0.7673528525199396	0.12896961807066	0.8798814155119931	0.3651680497857728	0.04153484389085765	0.8520256378518387	0.8358358945075907	0.6923891731271887	0.365183540957751	0.33641170331253734	0.7132020161483625	0.0	0.15573138414833881	0.7678247114885588	0.38631140833620564	0.41947993037085274	0.39307905923454484	0.8809429014632875	0.8729761504983542	0.34288263398293534	0.6088944044488368	0.860649890881039	0.4120167628314048	0.8849578837663511	0.5716716501672862	0.4864888568233001
"G7(+/-)"	0.8363064778413295	0.5401787933546992	0.3761241287150179	0.00577915188625503	0.8131053015924888	0.0	0.07157552580063871	0.7020372483295214	0.6130504353314233	0.7740072968345076	0.23330437604429521	0.37267571131518257	0.25543213067632753	0.002319824569973602	0.6911600407946793	0.0	0.799166607798247	0.8152821963954116	0.8882807325603531	0.21556079023297098	0.09838667713365852	0.5125634103142036	0.79135399127624	0.5045124201419351	0.6821614311987795	0.06348663025522139	0.8230677844610841	0.41433772869247176	0.0	0.8007597753533743	0.8199114276834281	0.733962718842435	0.41493194657334426	0.3951347679274453	0.7430934068744136	0.022429027006519477	0.12011085365087575	0.8366067690592981	0.3735573169300085	0.39212328422662934	0.4171367321401612	0.8199130513249817	0.833763529187221	0.3842236254914111	0.5799486696292684	0.8358399198507475	0.3392662865544313	0.9079249697815563	0.47488033245627775	0.3744211111280759
"G8(+/-)"	0.8842748382650576	0.49141961049145705	0.4703423212039783	0.0	0.8231924397017101	0.013171224350580352	0.004606076974179844	0.37502283035668244	0.5655894567339963	0.7936501468920434	0.21671848405840172	0.31280478937278494	0.18335045147278703	0.07487167936474172	0.6647583158514715	0.032630354752387916	0.8576478743183066	0.8372529748147195	0.8778559188703905	0.2697229431209035	0.10231532570603318	0.5139932505641581	0.7529634052132259	0.47845024931657615	0.713000578784976	0.1426050684749049	0.8820605550297891	0.389186490796552	0.0	0.8146753921857932	0.8433504501828927	0.7843472911978802	0.3783266541035161	0.2792812242926535	0.7001152732257789	4.8546580879565906E-4	0.17717225083161722	0.7496747214497304	0.3440306581934567	0.37263933501275853	0.3069117993273421	0.8795589222640753	0.7776131290019989	0.3860339488439502	0.5784808798229013	0.8220308074208933	0.3456527103526159	0.8250789692425338	0.5498856357109613	0.42189693548470175
"G9(+/-)"	0.8583619000741842	0.47077210750349635	0.44335629046822406	0.10565908476708515	0.948610036022396	0.0	0.06919284900705039	0.658225271655586	0.2801703637341556	0.7810140921866385	0.26545215479853435	0.2409121025348646	0.24513460724816083	0.038758940798865216	0.540742985880817	0.0064979083548207	0.8721945550679133	0.8926867862726323	0.8640049480398939	0.1856456252195879	0.10690246070128201	0.4176099548341581	0.7239404355803132	0.4499586428852593	0.7307057633901405	0.17847995972453484	0.8300759316622766	0.3646797909046102	0.036081880782467865	0.8258473699167024	0.7648445941048708	0.7882942707600122	0.4649973212113028	0.33626917159828096	0.6957716121195432	0.0	0.20519994115957294	0.8383334189078785	0.39928438711218744	0.3267540736053884	0.39505103277872106	0.8253927690195917	0.8772138562062891	0.3476884611439929	0.5447209928663176	0.8506449971497999	0.4608168034780046	0.7646048127083181	0.5459901571454808	0.36708060221057537
