"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"
"wt"	0.6735298628927164	0.43334835264475735	0.1900765217396213	0.24735291140835525	0.46188023071086404	0.4362084196264872	0.5389571766401674	0.05883047822917775	0.020750228593263673	0.06567870481522613	0.2823364217636924	0.24620560052805016	0.7781875213569533	0.2473485947755468	0.1655120812235833	0.5838547468115632	0.4033572229718187	0.08990786861601294	0.6199805757037407	0.6383907890811105	0.1799471940004511	0.0	0.36392117657037965	0.23118585258102825	0.7847645883953173	0.45461043414827584	0.17430131871534268	0.5975743751803669	0.03457592905002044	0.3239353300506529	0.7048061199507141	0.5154271148892684	0.8288600717286186	0.2884268464348304	0.8258055711998791	0.6620700123259563	0.6966079246928005	0.7551862099793833	0.052841674529369845	0.3174179489829112	0.81219420161317	0.8444387828890028	0.5068754910518292	0.8379029216957988	0.751136168012342	0.44374811491406146	0.37666895016621965	0.5746353470884027	0.7278724565352971	0.711306939647093
"G1(-/-)"	0.05494724383824569	0.06929045375630455	0.13594310077765936	0.28551658263966806	0.4824175984014608	0.46930459577070643	0.47741312936204816	0.024526128011896936	0.05752546825471345	0.0846938471425779	0.3532309867551994	0.27937606136637283	0.7782049099300884	0.29816765349546204	0.11310153212576123	0.5363799681561034	0.4954742550836853	0.0	0.4837624649026858	0.56936665539142	0.12939961399045155	0.06293755477461979	0.4754043738846012	0.1418075130016209	0.8399897158997873	0.439866095609878	0.15685161692024932	0.5408457222787669	0.0	0.31377725507261206	0.8376355348675524	0.56402762460102	0.7780442692868446	0.3795086439101096	0.8823487641284595	0.58005384120885	0.580540865233079	0.7324707396472697	0.11170883228956487	0.3000707316524342	0.8474628273112099	0.8374651616460598	0.5290951455428308	0.8705284678581592	0.7119603418408951	0.5679475171793962	0.40978104409705585	0.6644352515976313	0.7555049276326481	0.6854516839276225
"G2(-/-)"	0.6566807456845563	0.0	0.19508875414035884	0.29373287379773394	0.3961177952360385	0.6162277123763601	0.5253819036528269	0.08165647831975914	0.0	0.0	0.37403210495631073	0.3129748184608774	0.9564741207095334	0.35087164364653484	0.22133418177110456	0.5638402580595381	0.39844652056111807	0.009666960976243786	0.528181486320454	0.5839429240603232	0.06466644672594082	0.04409568042757911	0.3746607821685951	0.15457208700887676	0.8577103811678393	0.34898355802401704	0.15463113094824796	0.5516328358168545	0.006806039845467866	0.303673186311938	0.7474238543148269	0.5187385898921005	0.8739868342854	0.37166149418806826	0.8625727471489804	0.6393610367907621	0.6419755733460363	0.7044690151103121	0.06462875726660744	0.29091965005276293	0.8136531756769481	0.8731549945936141	0.5055378822475488	0.7691370032504486	0.6603545048801969	0.39404180199496064	0.38540624311631455	0.6966024912170007	0.7234123690593055	0.7018838517472665
"G3(-/-)"	0.8904335743240662	0.41071274729178864	0.07590486456731696	0.2926234511900508	0.45310271350223463	0.5142273372476747	0.5940772766735043	0.12771946166423434	0.06301786913958247	0.06573240085926174	0.3388813943202278	0.2202232310547435	0.7851706116167597	0.3382058953298717	0.1605527874225943	0.5007365128341082	0.45509238516116163	0.04113840655490821	0.5694042605313441	0.653402771492293	0.12152539946306393	0.06814913806433917	0.40204780272969765	0.2419632127429213	0.87698884642246	0.4797485396887558	0.26815122823421633	0.6150000804759906	0.0	0.29868698130849813	0.7579422390992793	0.5514396508849223	0.7334570843761364	0.33693259508497825	0.9047016920543417	0.6237214531045232	0.599324320915438	0.7726450889589174	0.11390791644426426	0.2775329429213482	0.8443245554975611	0.8683678441280219	0.4665850464969907	0.8537746341010424	0.6569966128645381	0.5360226817726004	0.34378406381101784	0.6644833735737383	0.75895003011285	0.61419464749064
"G4(-/-)"	0.4215002494115147	0.30896289486480144	0.6581897779378225	0.03508175621897154	0.8092874444255374	0.08326874698228136	0.8287215186992599	0.0313730387240732	0.22426252682483394	0.12790203763146185	0.2600575828570677	0.32117228051658786	0.7492749973781475	0.3059258442733901	0.14197960700676612	0.46340050188831367	0.4323613033641145	0.02883701625841385	0.5913762926524248	0.6630794039234442	0.20153701985821704	0.0070802381432004576	0.457713477727749	0.21269538992713666	0.6898885790863187	0.40956315839645374	0.1755651376507985	0.5997329549155187	0.06750522796106427	0.30639850682678504	0.738242256293033	0.36602970834218734	0.946265962025076	0.29708165156738287	0.9031521839985145	0.639707351641141	0.6412360867510455	0.6884279143373693	0.21333081770095141	0.4466515030387868	0.811910600471578	0.8741748159731131	0.559466206086071	0.889740457240878	0.7112430917943567	0.40210357386624257	0.32089237790831193	0.6162411854792658	0.7916532357888327	0.8064806864822531
"G5(-/-)"	0.7074035581023785	0.3486030394212787	0.13253943466947113	0.23992728114240763	0.03844516341270587	0.5121958974939194	0.5835140386440003	0.0721700641909783	0.005318603423249936	0.038602583483176627	0.28924594225888106	0.2767611661085621	0.8540168585780973	0.32179313952692457	0.2300275107961291	0.4098699306874297	0.46701332719578775	0.10691493034958438	0.5673479063837514	0.5311786000123437	0.12539722684917826	0.082579171740884	0.43465898113493673	0.17217779969096672	0.8823823083534245	0.4411368722039035	0.2410508496211882	0.4780393047499555	0.07277141269070478	0.27808557825655117	0.7789078011296685	0.550119543584601	0.8233297095541642	0.32763856201786057	0.8817400553549986	0.6291438380549905	0.7171108570570084	0.7763112711800597	0.05849288424689898	0.3416484228711734	0.8128001107316594	0.813113307583452	0.5101861950063366	0.8627762079150542	0.6914609253593429	0.47373026608477614	0.2969488599149961	0.6486430699248878	0.7897833309096207	0.8362142926483549
"G6(-/-)"	0.5797162136785946	0.46054935163024396	0.12384893528761276	0.2719542156678611	0.5089078392897779	0.0	0.6704059020372802	0.03622087263457497	0.0	0.0987163853734134	0.3386918159273608	0.2489690907291503	0.890408858042962	0.20270042887618045	0.20495481455153378	0.6008281851430729	0.4319677959416777	0.0	0.4486951592066007	0.6340382589546357	0.20936355826461	0.0	0.37149611039111935	0.1726644543731757	0.8432364433603892	0.39298242179671145	0.15367509318493067	0.5182464817365194	0.0	0.2817259358285145	0.7367955000337523	0.5264426762971807	0.8286244346953162	0.381641107558961	0.9292438918828916	0.653404541452123	0.6203001379734149	0.7665723029504837	0.14519295361057838	0.35282772803328727	0.8393991478423892	0.8772895771289414	0.543624709940935	0.7640645243268477	0.6611885377628516	0.4119169049723912	0.32398528574341134	0.6768615125033141	0.7173367826179063	0.7129619807619031
"G7(-/-)"	0.7102058447309968	0.31087090579447707	0.14159952998453057	0.19323635169356101	0.421212725591475	0.5142259178656803	0.002585039666558091	0.0	0.0	0.119567080018595	0.31297520113035904	0.2383828124699487	0.8372615113118207	0.23652306397987238	0.20868420098965815	0.5827168625625486	0.4055630835804785	0.0804432744472771	0.5542825602871245	0.5466569376080204	0.12228419219668551	0.04406722120795163	0.46581022712924036	0.2609971929326675	0.8594885744295158	0.5420274553870649	0.15800914009426498	0.5263148292551397	0.09376142703113412	0.3308110322272143	0.7238056542011226	0.4738150654652667	0.7425325852927519	0.3330735068139983	0.8160301555202046	0.6395048174746049	0.7187198943614972	0.6791224957587906	0.022339573075426323	0.25204452697697005	0.7902533867562923	0.8954375238662148	0.5596934516295364	0.8398353899872525	0.6712900738932778	0.4480321854001566	0.35655231676448906	0.6256119564162507	0.7160083704687548	0.6823667104116892
"G8(-/-)"	0.6609634927928647	0.3196850869136619	0.13685349516064407	0.3013980058885367	0.48990216506022227	0.5489297173956815	0.5945820853417634	0.03256499184964193	0.0	0.08165849894807589	0.28938070915711656	0.2522514135996699	0.8727666885986595	0.36804005736661594	0.10751529211583516	0.4722730132427325	0.387280578570587	0.0	0.5610771340326584	0.6766233120189495	0.22394041574058227	0.0	0.5058781299071573	0.16209213413707732	0.9232729532507566	0.408406403724871	0.20593331282416524	0.5157843942101076	0.055835633141243596	0.31431517390255886	0.7827917092573788	0.512256721754901	0.8817247484502444	0.35564599247359885	0.8254074227255344	0.6955907387987043	0.6369344462891561	0.7631369874031309	0.10398219524765934	0.4081351525983004	0.8087859593762884	0.8114200714565364	0.551146700313462	0.8584808967248443	0.601581998872068	0.448422456923287	0.38021741449511587	0.6355804854368676	0.7082355161844833	0.9049968035512784
"G9(-/-)"	0.6574637557497683	0.42758719231717396	0.09994833398597988	0.23146766601782143	0.4640322799977159	0.495132185609522	0.602887529517841	0.018895169503935303	0.05294371260349273	0.08282747539266162	0.3222089035480683	0.24499279674522728	0.8613833239505428	0.3808424152243375	0.058001526358564925	0.3772388405564712	0.45141379896499423	0.0	0.5232293445369228	0.6598747780244039	0.13528018228879282	0.015087306124134194	0.4657288258723518	0.24772834456579054	0.9475073419307626	0.46778914247959874	0.18261206094042767	0.5483171042399636	0.0	0.2527241266473553	0.7164511867586888	0.49152051996442153	0.8005891009217436	0.2984977758037259	0.8407831732261727	0.6787789383257076	0.6626632784437335	0.7611641621134213	0.09624908559265308	0.4696324093031714	0.7875591081876719	0.8424522611235631	0.4750051283675475	0.9149889729944548	0.7441414671816137	0.44851265796528467	0.40976252789735446	0.6646811858308457	0.7334885226489497	0.6445200478066233
